sector,operator,direction,n_index,L,kx,ky,kz,kmag,omega,gamma,prominence,peak_power,signal_power,has_signal,resolved,prony_valid,control_omega_spin1,control_omega_predicted,prony_note
spin1_control,transverse_J,[100],1,32,0.19635,0,0,0.19635,0.122718,6.6502e-05,6763.28,8.32585e+10,45509.1,1,1,0,0.122718,0.11318,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[100],1,32,0.19635,0,0,0.19635,0.122718,0,2536.54,483.796,7.8758,1,1,0,0.122718,0.11318,"Prony: complex roots (not pure exponentials)"
spin2,stress,[100],1,32,0.19635,0,0,0.19635,0.269981,0,160757,2.9163e-06,0.000436494,1,1,0,0.122718,0.11318,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[100],2,32,0.392699,0,0,0.392699,0.220893,0,90801.4,4.8215e+10,29088.3,1,1,0,0.220893,0.225271,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[100],2,32,0.392699,0,0,0.392699,0.220893,0,14387.3,798.085,8.12275,1,1,0,0.220893,0.225271,"Prony: complex roots (not pure exponentials)"
spin2,stress,[100],2,32,0.392699,0,0,0.392699,0.539961,0,22905,0.00777568,0.0227267,1,1,0,0.220893,0.225271,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[100],3,32,0.589049,0,0,0.589049,0.343612,0,13696.3,4.24029e+10,29187.4,1,1,0,0.343612,0.335192,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[100],3,32,0.589049,0,0,0.589049,0.564505,0,2316.58,308.543,5.88183,1,1,0,0.343612,0.335192,"Prony: complex roots (not pure exponentials)"
spin2,stress,[100],3,32,0.589049,0,0,0.589049,0.809942,0,6649.84,0.00498106,0.017533,1,1,0,0.343612,0.335192,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[100],4,32,0.785398,0,0,0.785398,0.441786,5.9131e-06,295799,1.81022e+11,55063.2,1,1,0,0.441786,0.441885,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[100],4,32,0.785398,0,0,0.785398,0.220893,0,23817.5,96.9888,2.19908,1,1,0,0.441786,0.441885,"Prony: complex roots (not pure exponentials)"
spin2,stress,[100],4,32,0.785398,0,0,0.785398,0.171806,0.000147722,9531.51,0.0100415,0.0248813,1,1,0,0.441786,0.441885,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[110],1,32,0.19635,0.19635,0,0.27768,0.171806,4.50322e-07,3947.72,7.36621e+10,49707.9,1,1,0,0.171806,0.159804,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[110],1,32,0.19635,0.19635,0,0.27768,0.147262,0,2883.08,1129.69,11.2657,1,1,0,0.171806,0.159804,"Prony: complex roots (not pure exponentials)"
spin2,stress,[110],1,32,0.19635,0.19635,0,0.27768,0.319068,0,1757.4,9.03649e-05,0.00295895,1,1,0,0.171806,0.159804,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[110],2,32,0.392699,0.392699,0,0.55536,0.319068,0,3.08091e+06,1.49244e+11,48550.6,1,1,0,0.319068,0.316533,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[110],2,32,0.392699,0.392699,0,0.55536,0.319068,0.000186716,1856.77,219.556,6.28375,1,1,0,0.319068,0.316533,"Prony: complex roots (not pure exponentials)"
spin2,stress,[110],2,32,0.392699,0.392699,0,0.55536,0.441786,0,5254.73,0.000444834,0.00416373,1,1,0,0.319068,0.316533,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[110],3,32,0.589049,0.589049,0,0.833041,0.46633,7.96129e-06,66056.4,1.01472e+11,42998,1,1,0,0.46633,0.46717,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[110],3,32,0.589049,0.589049,0,0.833041,0.147262,0.00125204,813.656,162.329,5.75367,1,1,0,0.46633,0.46717,"Prony: complex roots (not pure exponentials)"
spin2,stress,[110],3,32,0.589049,0.589049,0,0.833041,0.908117,0,9779.7,0.302589,0.136576,1,1,0,0.46633,0.46717,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[110],4,32,0.785398,0.785398,0,1.11072,0.613592,1.64894e-05,49399.9,3.41145e+09,7969.49,1,1,0,0.613592,0.608815,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[110],4,32,0.785398,0.785398,0,1.11072,0.638136,0.00300797,2423.58,385.624,8.51938,1,1,0,0.613592,0.608815,"Prony: complex roots (not pure exponentials)"
spin2,stress,[110],4,32,0.785398,0.785398,0,1.11072,0.294524,0.00134263,4928.08,1.04391,0.270562,1,1,0,0.613592,0.608815,"Prony: complex roots (not pure exponentials)"
spin1_control,transverse_J,[111],1,32,0.19635,0.19635,0.19635,0.340087,0.19635,0,2.96846e+07,6.60778e+10,32181.1,1,1,0,0.19635,0.195405,"Prony: complex roots (not pure exponentials)"
spin2,flux_quadrupole,[111],1,32,0.19635,0.19635,0.19635,0.340087,0.171806,0,2715.81,271.408,8.48697,1,1,0,0.19635,0.195405,"Prony: complex roots (not pure exponentials)"
spin2,stress,[111],1,32,0.19635,0.19635,0.19635,0.340087,0.269981,0,160281,1.63589e-13,1.03414e-07,1,1,0,0.19635,0.195405,"Prony: complex roots (not pure exponentials)"
