seed,tick,idx,dx,dy,dz,shell,jmag
3759153152,1,15888,-1,0,0,SC,2.041956
3759153152,1,16880,0,-1,0,SC,2.041956
3759153152,1,16911,0,0,-1,SC,2.041956
3759153152,1,16912,0,0,0,center,6.125867999999998
3759153152,1,16913,0,0,1,SC,2.041956
3759153152,1,17936,1,0,0,SC,2.041956
3759153152,4,16944,0,1,0,SC,1.998876287957897
3759153153,1,15888,-1,0,0,SC,2.041956
3759153153,1,16880,0,-1,0,SC,2.041956
3759153153,1,16911,0,0,-1,SC,2.041956
3759153153,1,16912,0,0,0,center,6.125867999999998
3759153153,1,16913,0,0,1,SC,2.041956
3759153153,1,16944,0,1,0,SC,2.041956
3759153153,4,17936,1,0,0,SC,1.7824917019908748
3759153154,1,15888,-1,0,0,SC,2.041956
3759153154,1,16880,0,-1,0,SC,2.041956
3759153154,1,16911,0,0,-1,SC,2.041956
3759153154,1,16912,0,0,0,center,6.125867999999998
3759153154,1,16913,0,0,1,SC,2.041956
3759153154,1,17936,1,0,0,SC,2.041956
3759153154,4,16944,0,1,0,SC,1.998876287957897
3759153154,6,17968,1,1,0,FCC,1.730369930666661
3759153154,6,18960,2,0,0,SC2,1.6055653635669018
3759153154,8,15855,-1,-1,-1,BCC,1.6305486424376028
3759153154,10,15919,-1,1,-1,BCC,1.6201404358428546
3759153154,10,17903,1,-1,-1,BCC,1.6843503144767635
3759153154,13,14864,-2,0,0,SC2,2.033868686918086
3759153154,15,15857,-1,-1,1,BCC,1.69947762612666
3759153155,1,15888,-1,0,0,SC,2.041956
3759153155,1,16911,0,0,-1,SC,2.041956
3759153155,1,16912,0,0,0,center,6.125867999999998
3759153155,1,16913,0,0,1,SC,2.041956
3759153155,1,17936,1,0,0,SC,2.041956
3759153156,1,15888,-1,0,0,SC,2.041956
3759153156,1,16911,0,0,-1,SC,2.041956
3759153156,1,16912,0,0,0,center,6.125867999999998
3759153156,4,16880,0,-1,0,SC,1.8515154915073926
3759153156,4,16944,0,1,0,SC,1.8515154915073926
3759153156,6,16913,0,0,1,SC,2.013897056189795
3759153156,8,17936,1,0,0,SC,1.6756136408966098
3759153157,1,15888,-1,0,0,SC,2.041956
3759153157,1,16911,0,0,-1,SC,2.041956
3759153157,1,16912,0,0,0,center,6.125867999999998
3759153157,1,16913,0,0,1,SC,2.041956
3759153157,1,16944,0,1,0,SC,2.041956
3759153157,2,17936,1,0,0,SC,1.6097839657255406
3759153157,4,16880,0,-1,0,SC,2.0265836665679164
3759153157,6,17904,1,-1,0,FCC,1.8865320995683958
3759153157,8,14864,-2,0,0,SC2,1.6433285435988483
3759153157,10,15855,-1,-1,-1,BCC,1.6166526793738678
3759153157,10,17967,1,1,-1,BCC,1.775484660510871
3759153157,13,15857,-1,-1,1,BCC,1.6388146216770347
3759153157,13,15919,-1,1,-1,BCC,1.7861395408665355
3759153157,13,17969,1,1,1,BCC,1.6699213593198616
3759153158,1,16911,0,0,-1,SC,2.041956
3759153158,1,16912,0,0,0,center,6.125867999999998
3759153158,2,16913,0,0,1,SC,1.676802059020398
3759153158,4,15888,-1,0,0,SC,2.2300884242312806
3759153158,4,16880,0,-1,0,SC,1.806053713404881
3759153158,6,15889,-1,0,1,FCC,1.8975034574485863
3759153158,6,16944,0,1,0,SC,2.1059194068744835
3759153158,6,17936,1,0,0,SC,2.556232009397542
3759153159,1,16880,0,-1,0,SC,2.041956
3759153159,1,16911,0,0,-1,SC,2.041956
3759153159,1,16912,0,0,0,center,6.125867999999998
3759153159,1,16944,0,1,0,SC,2.041956
3759153159,1,17936,1,0,0,SC,2.041956
3759153159,4,15888,-1,0,0,SC,2.23106046782948
3759153159,4,16913,0,0,1,SC,1.8613816249189634
3759153159,6,15887,-1,0,-1,FCC,1.8581285262096803
3759153159,7,17937,1,0,1,FCC,1.5484691238961041
3759153159,10,17903,1,-1,-1,BCC,1.7340968300257364
