k,lambda,delta_eig,tier_eig
0,165.453,-3.37028,relevant
1,86.6605,-2.4373,relevant
2,23.8994,-0.578901,relevant
3,-30.8444,nan,n/a
4,-64.39,nan,n/a
5,null,null,n/a
