ftd_id,axis,resolution,phase_index,phase,initializer_gate,common_gate,inward_impulse,separation_decrease,matter_parallel,pseudomomentum_parallel,matter_norm,pseudomomentum_norm
FTD-0603,0,8,0,0,6.7960688104637411e-14,6.7959526894867395e-14,0.00032738049650214793,0.00021352315587197523,5.1372327251614962e-05,5.1372327251614962e-05,6.7816324166733634e-05,6.7816324166733634e-05
FTD-0603,0,8,1,0.125,6.9760014438104059e-14,6.9759627761845078e-14,0.00023807845678357279,0.00015527088304079228,0.00043566642360894911,0.00043566642360894911,0.00043682057664111125,0.00043682057664111125
FTD-0603,0,8,2,0.25,6.8969515428646266e-14,6.8969515428646266e-14,1.5774328885206722e-05,1.0259833546300001e-05,0.00056047806476607499,0.00056047806476607499,0.00056286157553528642,0.00056286157553528642
FTD-0603,0,8,3,0.375,6.6660701004550462e-14,6.665975822543746e-14,-0.00030826093265938135,-0.00020111285715529448,0.00026175429839769609,0.00026175429839769609,0.00026377234486120004,0.00026377234486120004
FTD-0603,0,8,4,0.5,5.9730300459827057e-14,5.9727396639619457e-14,-0.00041401877258487709,-0.00027010042854502814,-2.319415073307211e-05,-2.319415073307211e-05,6.2505060577132014e-05,6.2505060577132014e-05
FTD-0603,0,8,5,0.625,6.5676630800481917e-14,6.5676630800481917e-14,-0.00021660629473496773,-0.00014132520994269981,-0.00035201889231348488,-0.00035201889231348488,0.00037123892274478864,0.00037123892274478864
FTD-0603,0,8,6,0.75,6.842438455892612e-14,6.8419770717087491e-14,0.0001020640229312905,6.6547439818265275e-05,-0.00057129103000067884,-0.00057129103000067884,0.00058566896228074241,0.00058566896228074241
FTD-0603,0,8,7,0.875,6.8636502731367344e-14,6.8636502731367344e-14,0.00028280886018769208,0.00018444878978751689,-0.00036132617088609301,-0.00036132617088609301,0.00037377407138406159,0.00037377407138406159
FTD-0603,1,8,0,0,6.7960688104637411e-14,6.7959526894867395e-14,0.00032738049650214793,0.00021352315587197523,-2.0344019886782264e-05,-2.0344019886782264e-05,6.7816324166733634e-05,6.7816324166733634e-05
FTD-0603,1,8,1,0.125,6.8648478354457494e-14,6.8643441625271251e-14,0.00034506573078699708,0.00022506189854087921,0.00026320353990231691,0.00026320353990231691,0.00029050375586348021,0.00029050375586348021
FTD-0603,1,8,2,0.25,7.2625933045245006e-14,7.2625933045245006e-14,0.00040711385324143943,0.0002655427922224618,0.00032944600548585087,0.00032944600548585087,0.00036427355178587776,0.00036427355178587776
FTD-0603,1,8,3,0.375,7.6324038235375813e-14,7.6324038235375813e-14,0.0005050418957354355,0.00032942321923368212,7.5497959899043768e-05,7.5497959899043768e-05,0.00015663342044469142,0.00015663342044469142
FTD-0603,1,8,4,0.5,7.3485976418569132e-14,7.3485976418569132e-14,0.00054704185863095828,0.0003568176028867498,-1.3359152500906927e-05,-1.3359152500906927e-05,7.7430936179032647e-05,7.7430936179032647e-05
FTD-0603,1,8,5,0.625,7.5761499938181709e-14,7.5761499938181709e-14,0.00051679868727543769,0.00033709150455063508,-6.613039592348282e-05,-6.613039592348282e-05,6.7379543678036435e-05,6.7379543678036435e-05
FTD-0603,1,8,6,0.75,7.3978815747831047e-14,7.39783126250948e-14,0.0004229452551594541,0.00027587087079528061,-0.00029064075293218979,-0.00029064075293218979,0.00029132182089836641,0.00029132182089836641
FTD-0603,1,8,7,0.875,7.03040051371902e-14,7.0303571991781055e-14,0.00035167738894452329,0.00022937622102059407,-0.00028400951567071966,-0.00028400951567071966,0.00028419058817127105,0.00028419058817127105
FTD-0603,2,8,0,0,6.7960688104637411e-14,6.7959526894867395e-14,0.00032738049650214793,0.00021352315587197523,3.9319952582457258e-05,3.9319952582457258e-05,6.7816324166733634e-05,6.7816324166733634e-05
FTD-0603,2,8,1,0.125,6.7175290244598844e-14,6.7172938218729161e-14,0.00028582328666279923,0.00018642942000379747,0.00013189445867050991,0.00013189445867050991,0.00013516382116546971,0.00013516382116546971
FTD-0603,2,8,2,0.25,6.9714633371686929e-14,6.9714633371686929e-14,0.00019433098011444695,0.00012675551793606132,-0.00022752127455210716,-0.00022752127455210716,0.00022913865715048536,0.00022913865715048536
FTD-0603,2,8,3,0.375,7.3187549770592497e-14,7.3187549770592497e-14,0.00012976947296405877,8.4624646726538799e-05,-0.00024139463131175149,-0.00024139463131175149,0.00024436506110347858,0.00024436506110347858
FTD-0603,2,8,4,0.5,7.3754375279713305e-14,7.3729217175966255e-14,0.00011632338535617226,7.5847333899758951e-05,8.4539054032100095e-05,8.4539054032100095e-05,0.00011107583428802776,0.00011107583428802776
FTD-0603,2,8,5,0.625,7.1906022802714631e-14,7.1906022802714631e-14,0.0001531103732611958,9.9857777583700624e-05,0.00031220445100444387,0.00031220445100444387,0.00032958264291907288,0.00032958264291907288
FTD-0603,2,8,6,0.75,6.728818890966437e-14,6.728818890966437e-14,0.00024017338866720751,0.00015665976366907586,1.9823828302760504e-05,1.9823828302760504e-05,0.0001174805307015985,0.0001174805307015985
FTD-0603,2,8,7,0.875,6.6865275364818819e-14,6.6862747977181058e-14,0.00031214940194531542,0.0002035942642226729,-0.00014386161630671498,-0.00014386161630671498,0.00017129871906261505,0.00017129871906261505
FTD-0603,0,16,0,0,6.7960688104637411e-14,6.7959526894867395e-14,0.00032738049650214793,0.00021352315587197523,5.1372327251614962e-05,5.1372327251614962e-05,6.7816324166733634e-05,6.7816324166733634e-05
FTD-0603,0,16,1,0.0625,6.9157136614594883e-14,6.9157136614594883e-14,0.0002993756559509883,0.00019525544603204992,0.00026152073835463915,0.00026152073835463915,0.0002629088485412285,0.0002629088485412285
FTD-0603,0,16,2,0.125,6.9760014438104059e-14,6.9759627761845078e-14,0.00023807845678357279,0.00015527088304079228,0.00043566642360894911,0.00043566642360894911,0.00043682057664111125,0.00043682057664111125
FTD-0603,0,16,3,0.1875,6.9673216848697983e-14,6.9673271058806607e-14,0.00014355311332790675,9.3611236638757589e-05,0.00054493116795283883,0.00054493116795283883,0.000546767091704195,0.000546767091704195
FTD-0603,0,16,4,0.25,6.8969515428646266e-14,6.8969515428646266e-14,1.5774328885206722e-05,1.0259833546300001e-05,0.00056047806476607499,0.00056047806476607499,0.00056286157553528642,0.00056286157553528642
FTD-0603,0,16,5,0.3125,6.8622654700353265e-14,6.8617773138837657e-14,-0.00014537251265435766,-9.4858301070921414e-05,0.00045353049221036812,0.00045353049221036812,0.00045602024447859076,0.00045602024447859076
FTD-0603,0,16,6,0.375,6.6660701004550462e-14,6.665975822543746e-14,-0.00030826093265938135,-0.00020111285715529448,0.00026175429839769609,0.00026175429839769609,0.00026377234486120004,0.00026377234486120004
FTD-0603,0,16,7,0.4375,6.2665855577598295e-14,6.2665855577598295e-14,-0.0003989110618910119,-0.00026024540202396196,0.00011041682025463457,0.00011041682025463457,0.00011442034631148992,0.00011442034631148992
FTD-0603,0,16,8,0.5,5.9730300459827057e-14,5.9727396639619457e-14,-0.00041401877258487709,-0.00027010042854502814,-2.319415073307211e-05,-2.319415073307211e-05,6.2505060577132014e-05,6.2505060577132014e-05
