# L=64 A=14.0000 dir=axial thermostat=on coupling=on gamma=0.0200 T=0.00500 seed=0xE0102003 backend=cpu
tick,manifested_count,cluster_size,positive_count,negative_count,genesis_events,evap_events
0,6,6,1,5,6,0
1,6,6,1,5,0,0
2,6,6,1,5,0,0
3,7,7,2,5,1,0
4,7,7,2,5,0,0
5,9,9,2,7,2,0
6,10,10,3,7,1,0
7,10,10,3,7,0,0
8,10,10,3,7,0,0
9,14,14,6,8,4,0
10,14,14,6,8,0,0
11,15,15,6,9,1,0
12,15,15,6,9,0,0
13,15,15,6,9,0,0
14,17,17,8,9,2,0
15,17,17,8,9,0,0
16,17,17,8,9,0,0
17,17,17,8,9,0,0
18,17,17,8,9,0,0
19,17,17,8,9,0,0
20,17,17,8,9,0,0
21,17,17,8,9,0,0
22,17,17,8,9,0,0
23,17,17,8,9,0,0
24,17,17,8,9,0,0
25,17,17,8,9,0,0
26,17,17,8,9,0,0
27,17,17,8,9,0,0
28,17,17,8,9,0,0
29,17,17,8,9,0,0
30,17,17,8,9,0,0
31,17,17,8,9,0,0
32,17,17,8,9,0,0
33,17,17,8,9,0,0
34,17,17,8,9,0,0
35,17,17,8,9,0,0
36,17,17,8,9,0,0
37,17,17,8,9,0,0
38,17,17,8,9,0,0
39,17,17,8,9,0,0
40,17,17,8,9,0,0
41,17,17,8,9,0,0
42,17,17,8,9,0,0
43,17,17,8,9,0,0
44,17,17,8,9,0,0
45,17,17,8,9,0,0
46,17,17,8,9,0,0
47,17,17,8,9,0,0
48,17,17,8,9,0,0
49,17,17,8,9,0,0
50,17,17,8,9,0,0
51,17,17,8,9,0,0
52,17,17,8,9,0,0
53,17,17,8,9,0,0
54,17,17,8,9,0,0
55,17,17,8,9,0,0
56,17,17,8,9,0,0
57,17,17,8,9,0,0
58,17,17,8,9,0,0
59,17,17,8,9,0,0
60,17,17,8,9,0,0
61,17,17,8,9,0,0
62,17,17,8,9,0,0
63,17,17,8,9,0,0
64,17,17,8,9,0,0
65,17,17,8,9,0,0
66,17,17,8,9,0,0
67,17,17,8,9,0,0
68,17,17,8,9,0,0
69,16,16,7,9,0,1
70,16,16,7,9,0,0
71,16,16,7,9,0,0
72,16,16,7,9,0,0
73,16,16,7,9,0,0
74,16,16,7,9,0,0
75,16,16,7,9,0,0
76,16,16,7,9,0,0
77,16,16,7,9,0,0
78,16,16,7,9,0,0
79,16,16,7,9,0,0
80,16,16,7,9,0,0
81,16,16,7,9,0,0
82,16,16,7,9,0,0
83,16,16,7,9,0,0
84,16,16,7,9,0,0
85,16,16,7,9,0,0
86,15,15,7,8,0,1
87,15,15,7,8,0,0
88,15,15,7,8,0,0
89,15,15,7,8,0,0
90,15,15,7,8,0,0
91,15,15,7,8,0,0
92,15,15,7,8,0,0
93,15,15,7,8,0,0
94,15,15,7,8,0,0
95,15,15,7,8,0,0
96,15,15,7,8,0,0
97,15,15,7,8,0,0
98,15,15,7,8,0,0
99,15,15,7,8,0,0
100,15,15,7,8,0,0
101,15,15,7,8,0,0
102,15,15,7,8,0,0
103,15,15,7,8,0,0
104,15,15,7,8,0,0
105,15,15,7,8,0,0
106,15,15,7,8,0,0
107,15,15,7,8,0,0
108,15,15,7,8,0,0
109,15,15,7,8,0,0
110,15,15,7,8,0,0
111,15,15,7,8,0,0
112,15,15,7,8,0,0
113,15,15,7,8,0,0
114,15,15,7,8,0,0
115,15,15,7,8,0,0
116,15,15,7,8,0,0
117,15,15,7,8,0,0
118,15,15,7,8,0,0
119,15,15,7,8,0,0
120,15,15,7,8,0,0
121,15,15,7,8,0,0
122,15,15,7,8,0,0
123,15,15,7,8,0,0
124,15,15,7,8,0,0
125,15,15,7,8,0,0
126,15,15,7,8,0,0
127,15,15,7,8,0,0
128,15,15,7,8,0,0
129,15,15,7,8,0,0
130,15,15,7,8,0,0
131,15,15,7,8,0,0
132,15,15,7,8,0,0
133,15,15,7,8,0,0
134,15,15,7,8,0,0
135,15,15,7,8,0,0
136,15,15,7,8,0,0
137,15,15,7,8,0,0
138,15,15,7,8,0,0
139,15,15,7,8,0,0
140,15,15,7,8,0,0
141,15,15,7,8,0,0
142,15,15,7,8,0,0
143,15,15,7,8,0,0
144,15,15,7,8,0,0
145,15,15,7,8,0,0
146,15,15,7,8,0,0
147,15,15,7,8,0,0
148,15,15,7,8,0,0
149,15,15,7,8,0,0
150,15,15,7,8,0,0
151,15,15,7,8,0,0
152,15,15,7,8,0,0
153,15,15,7,8,0,0
154,15,15,7,8,0,0
155,15,15,7,8,0,0
156,15,15,7,8,0,0
157,15,15,7,8,0,0
158,15,15,7,8,0,0
159,15,15,7,8,0,0
160,15,15,7,8,0,0
161,15,15,7,8,0,0
162,15,15,7,8,0,0
163,15,15,7,8,0,0
164,15,15,7,8,0,0
165,15,15,7,8,0,0
166,15,15,7,8,0,0
167,15,15,7,8,0,0
168,15,15,7,8,0,0
169,15,15,7,8,0,0
170,15,15,7,8,0,0
171,15,15,7,8,0,0
172,15,15,7,8,0,0
173,15,15,7,8,0,0
174,15,15,7,8,0,0
175,15,15,7,8,0,0
176,15,15,7,8,0,0
177,15,15,7,8,0,0
178,15,15,7,8,0,0
179,15,15,7,8,0,0
180,15,15,7,8,0,0
181,15,15,7,8,0,0
182,15,15,7,8,0,0
183,15,15,7,8,0,0
184,15,15,7,8,0,0
185,15,15,7,8,0,0
186,15,15,7,8,0,0
187,15,15,7,8,0,0
188,15,15,7,8,0,0
189,15,15,7,8,0,0
190,15,15,7,8,0,0
191,15,15,7,8,0,0
192,15,15,7,8,0,0
193,15,15,7,8,0,0
194,15,15,7,8,0,0
195,15,15,7,8,0,0
196,15,15,7,8,0,0
197,15,15,7,8,0,0
198,15,15,7,8,0,0
199,15,15,7,8,0,0
200,15,15,7,8,0,0
201,15,15,7,8,0,0
202,15,15,7,8,0,0
203,15,15,7,8,0,0
