# L=64 A=14.0000 dir=axial thermostat=on coupling=on gamma=0.0200 T=0.00500 seed=0xE0102002 backend=cpu
tick,manifested_count,cluster_size,positive_count,negative_count,genesis_events,evap_events
221,13,13,9,4,0,0
222,13,13,9,4,0,0
223,13,13,9,4,0,0
224,13,13,9,4,0,0
225,13,13,9,4,0,0
226,13,13,9,4,0,0
227,13,13,9,4,0,0
228,13,13,9,4,0,0
229,13,13,9,4,0,0
230,13,13,9,4,0,0
231,13,13,9,4,0,0
232,13,13,9,4,0,0
233,13,13,9,4,0,0
234,13,13,9,4,0,0
235,13,13,9,4,0,0
236,13,13,9,4,0,0
237,13,13,9,4,0,0
238,13,13,9,4,0,0
239,13,13,9,4,0,0
240,13,13,9,4,0,0
241,13,13,9,4,0,0
242,13,13,9,4,0,0
243,13,13,9,4,0,0
244,13,13,9,4,0,0
245,13,13,9,4,0,0
246,13,13,9,4,0,0
247,13,13,9,4,0,0
248,13,13,9,4,0,0
249,13,13,9,4,0,0
250,13,13,9,4,0,0
251,13,13,9,4,0,0
252,13,13,9,4,0,0
253,13,13,9,4,0,0
254,13,13,9,4,0,0
255,13,13,9,4,0,0
256,13,13,9,4,0,0
257,13,13,9,4,0,0
258,13,13,9,4,0,0
259,13,13,9,4,0,0
260,13,13,9,4,0,0
261,13,13,9,4,0,0
262,13,13,9,4,0,0
263,13,13,9,4,0,0
264,13,13,9,4,0,0
265,13,13,9,4,0,0
266,13,13,9,4,0,0
267,13,13,9,4,0,0
268,13,13,9,4,0,0
269,13,13,9,4,0,0
270,13,13,9,4,0,0
271,13,13,9,4,0,0
272,13,13,9,4,0,0
273,13,13,9,4,0,0
274,13,13,9,4,0,0
275,13,13,9,4,0,0
276,13,13,9,4,0,0
277,13,13,9,4,0,0
278,13,13,9,4,0,0
279,13,13,9,4,0,0
280,13,13,9,4,0,0
281,13,13,9,4,0,0
282,13,13,9,4,0,0
283,13,13,9,4,0,0
284,13,13,9,4,0,0
285,13,13,9,4,0,0
286,13,13,9,4,0,0
287,13,13,9,4,0,0
288,13,13,9,4,0,0
289,13,13,9,4,0,0
290,13,13,9,4,0,0
291,13,13,9,4,0,0
292,13,13,9,4,0,0
293,13,13,9,4,0,0
294,13,13,9,4,0,0
295,13,13,9,4,0,0
296,13,13,9,4,0,0
297,13,13,9,4,0,0
298,13,13,9,4,0,0
299,13,13,9,4,0,0
