# L=64 A=30.0000 dir=axial thermostat=on coupling=on gamma=0.0200 T=0.00500 seed=0xE0102000 backend=cpu
tick,manifested_count,cluster_size,positive_count,negative_count,genesis_events,evap_events
0,18,18,4,14,18,0
1,18,18,4,14,0,0
2,20,20,5,15,2,0
3,21,21,5,16,1,0
4,31,31,11,20,10,0
5,31,31,11,20,0,0
6,31,31,11,20,0,0
7,32,32,12,20,1,0
8,33,33,12,21,1,0
9,33,33,12,21,0,0
10,33,33,12,21,0,0
11,33,33,12,21,0,0
12,33,33,12,21,0,0
13,33,33,12,21,0,0
14,33,33,12,21,0,0
15,33,33,12,21,0,0
16,33,33,12,21,0,0
17,34,34,13,21,1,0
18,34,34,13,21,0,0
19,35,35,14,21,1,0
20,36,36,15,21,1,0
21,36,36,15,21,0,0
22,37,37,15,22,1,0
23,37,37,15,22,0,0
24,40,40,18,22,3,0
25,41,41,19,22,1,0
26,42,42,20,22,1,0
27,42,42,20,22,0,0
28,42,42,20,22,0,0
29,43,43,21,22,1,0
30,43,43,21,22,0,0
31,45,45,22,23,2,0
32,45,45,22,23,0,0
33,47,47,23,24,2,0
34,47,47,23,24,0,0
35,47,47,23,24,0,0
36,47,47,23,24,0,0
37,47,47,23,24,0,0
38,47,47,23,24,0,0
39,47,47,23,24,0,0
40,47,47,23,24,0,0
41,47,47,23,24,0,0
42,47,47,23,24,0,0
43,47,47,23,24,0,0
44,47,47,23,24,0,0
45,47,47,23,24,0,0
46,47,47,23,24,0,0
47,47,47,23,24,0,0
48,47,47,23,24,0,0
49,47,47,23,24,0,0
50,47,47,23,24,0,0
51,47,47,23,24,0,0
52,47,47,23,24,0,0
53,47,47,23,24,0,0
54,47,47,23,24,0,0
55,47,47,23,24,0,0
56,47,47,23,24,0,0
57,47,47,23,24,0,0
58,47,47,23,24,0,0
59,47,47,23,24,0,0
60,47,47,23,24,0,0
61,47,47,23,24,0,0
62,47,47,23,24,0,0
63,47,47,23,24,0,0
64,47,47,23,24,0,0
65,47,47,23,24,0,0
66,47,47,23,24,0,0
67,47,47,23,24,0,0
68,47,47,23,24,0,0
69,47,47,23,24,0,0
70,47,47,23,24,0,0
71,47,47,23,24,0,0
72,47,47,23,24,0,0
73,47,47,23,24,0,0
74,47,47,23,24,0,0
75,47,47,23,24,0,0
76,47,47,23,24,0,0
77,47,47,23,24,0,0
78,47,47,23,24,0,0
79,47,47,23,24,0,0
80,47,47,23,24,0,0
81,47,47,23,24,0,0
82,47,47,23,24,0,0
83,47,47,23,24,0,0
84,46,46,23,23,0,1
85,46,46,23,23,0,0
86,46,46,23,23,0,0
87,46,46,23,23,0,0
