2.603534e-03,2.588340e-03,2.542619e-03,2.465967e-03,2.357762e-03,2.217250e-03,2.043662e-03,1.836368e-03,1.595088e-03,1.320113e-03,1.012576e-03,6.747265e-04,3.101600e-04,7.596763e-05,4.768859e-04,8.842414e-04,1.288370e-03,1.678662e-03,2.044117e-03,2.373960e-03,2.658271e-03,2.888543e-03,3.057960e-03,3.161595e-03,3.196468e-03,3.161595e-03,3.057960e-03,2.888541e-03,2.658272e-03,2.373961e-03,2.044117e-03,1.678663e-03,1.288369e-03,8.842429e-04,4.768881e-04,7.596685e-05,3.101591e-04,6.747267e-04,1.012576e-03,1.320112e-03,1.595089e-03,1.836368e-03,2.043662e-03,2.217251e-03,2.357763e-03,2.465967e-03,2.542619e-03,2.588340e-03
2.625117e-03,2.610327e-03,2.565841e-03,2.491324e-03,2.386289e-03,2.250207e-03,2.082685e-03,1.883740e-03,1.654272e-03,1.396916e-03,1.118045e-03,8.337337e-04,5.914195e-04,5.206702e-04,7.083397e-04,1.030123e-03,1.392138e-03,1.756785e-03,2.103828e-03,2.418916e-03,2.690807e-03,2.910733e-03,3.072183e-03,3.170733e-03,3.203861e-03,3.170730e-03,3.072181e-03,2.910731e-03,2.690808e-03,2.418920e-03,2.103826e-03,1.756787e-03,1.392137e-03,1.030123e-03,7.083399e-04,5.206699e-04,5.914190e-04,8.337333e-04,1.118046e-03,1.396915e-03,1.654273e-03,1.883740e-03,2.082684e-03,2.250207e-03,2.386289e-03,2.491324e-03,2.565841e-03,2.610327e-03
2.689969e-03,2.676374e-03,2.635531e-03,2.567296e-03,2.471533e-03,2.348287e-03,2.198080e-03,2.022397e-03,1.824530e-03,1.611087e-03,1.394840e-03,1.199795e-03,1.067014e-03,1.047345e-03,1.163088e-03,1.384867e-03,1.664349e-03,1.962452e-03,2.252399e-03,2.516114e-03,2.741538e-03,2.921157e-03,3.050840e-03,3.128870e-03,3.154873e-03,3.128869e-03,3.050842e-03,2.921158e-03,2.741537e-03,2.516113e-03,2.252396e-03,1.962452e-03,1.664349e-03,1.384869e-03,1.163089e-03,1.047345e-03,1.067014e-03,1.199796e-03,1.394840e-03,1.611087e-03,1.824531e-03,2.022397e-03,2.198080e-03,2.348288e-03,2.471534e-03,2.567296e-03,2.635531e-03,2.676374e-03
2.798380e-03,2.786721e-03,2.751770e-03,2.693633e-03,2.612626e-03,2.509483e-03,2.385729e-03,2.244225e-03,2.090049e-03,1.931725e-03,1.782804e-03,1.662965e-03,1.596197e-03,1.602849e-03,1.687832e-03,1.835972e-03,2.019982e-03,2.211983e-03,2.390001e-03,2.539916e-03,2.655336e-03,2.736339e-03,2.787367e-03,2.814553e-03,2.822960e-03,2.814553e-03,2.787365e-03,2.736335e-03,2.655337e-03,2.539918e-03,2.389999e-03,2.211984e-03,2.019981e-03,1.835973e-03,1.687831e-03,1.602849e-03,1.596197e-03,1.662964e-03,1.782805e-03,1.931724e-03,2.090050e-03,2.244226e-03,2.385729e-03,2.509484e-03,2.612626e-03,2.693633e-03,2.751770e-03,2.786721e-03
2.950768e-03,2.941722e-03,2.914690e-03,2.870035e-03,2.808495e-03,2.731394e-03,2.640977e-03,2.540853e-03,2.436584e-03,2.336283e-03,2.250804e-03,2.192572e-03,2.171968e-03,2.191805e-03,2.242935e-03,2.305549e-03,2.356042e-03,2.374012e-03,2.346902e-03,2.273420e-03,2.163614e-03,2.037142e-03,1.919503e-03,1.836308e-03,1.806333e-03,1.836308e-03,1.919503e-03,2.037143e-03,2.163615e-03,2.273420e-03,2.346903e-03,2.374012e-03,2.356043e-03,2.305549e-03,2.242936e-03,2.191805e-03,2.171969e-03,2.192572e-03,2.250804e-03,2.336282e-03,2.436584e-03,2.540853e-03,2.640977e-03,2.731395e-03,2.808494e-03,2.870035e-03,2.914690e-03,2.941722e-03
3.147584e-03,3.141756e-03,3.124452e-03,3.096244e-03,3.058191e-03,3.011997e-03,2.960233e-03,2.906585e-03,2.856095e-03,2.815071e-03,2.789989e-03,2.784478e-03,2.794774e-03,2.805927e-03,2.792853e-03,2.727552e-03,2.585818e-03,2.353637e-03,2.033962e-03,1.651749e-03,1.255223e-03,9.155819e-04,7.081089e-04,6.419292e-04,6.364844e-04,6.419287e-04,7.081085e-04,9.155834e-04,1.255219e-03,1.651750e-03,2.033960e-03,2.353638e-03,2.585817e-03,2.727552e-03,2.792853e-03,2.805926e-03,2.794774e-03,2.784477e-03,2.789990e-03,2.815071e-03,2.856096e-03,2.906586e-03,2.960233e-03,3.011997e-03,3.058191e-03,3.096244e-03,3.124452e-03,3.141756e-03
3.389171e-03,3.387109e-03,3.381159e-03,3.372047e-03,3.361041e-03,3.350024e-03,3.341592e-03,3.339081e-03,3.346369e-03,3.366751e-03,3.399950e-03,3.437230e-03,3.457309e-03,3.429081e-03,3.322122e-03,3.120072e-03,2.844148e-03,2.597284e-03,2.583433e-03,2.966539e-03,3.672505e-03,4.485124e-03,5.207412e-03,5.699448e-03,5.873684e-03,5.699448e-03,5.207411e-03,4.485127e-03,3.672505e-03,2.966537e-03,2.583434e-03,2.597284e-03,2.844148e-03,3.120071e-03,3.322122e-03,3.429081e-03,3.457309e-03,3.437229e-03,3.399951e-03,3.366750e-03,3.346369e-03,3.339081e-03,3.341591e-03,3.350025e-03,3.361041e-03,3.372047e-03,3.381159e-03,3.387109e-03
3.675580e-03,3.677791e-03,3.684705e-03,3.697163e-03,3.716576e-03,3.744911e-03,3.784663e-03,3.838588e-03,3.908581e-03,3.992682e-03,4.079969e-03,4.145663e-03,4.155498e-03,4.084918e-03,3.947047e-03,3.856805e-03,4.096744e-03,4.970095e-03,6.492120e-03,8.432416e-03,1.049973e-02,1.242327e-02,1.398737e-02,1.501744e-02,1.537784e-02,1.501743e-02,1.398737e-02,1.242328e-02,1.049973e-02,8.432415e-03,6.492122e-03,4.970095e-03,4.096745e-03,3.856804e-03,3.947047e-03,4.084918e-03,4.155499e-03,4.145663e-03,4.079970e-03,3.992682e-03,3.908581e-03,3.838589e-03,3.784663e-03,3.744911e-03,3.716576e-03,3.697163e-03,3.684705e-03,3.677791e-03
4.006344e-03,4.013313e-03,4.034546e-03,4.071005e-03,4.124258e-03,4.196399e-03,4.289842e-03,4.406345e-03,4.544106e-03,4.692525e-03,4.826816e-03,4.912392e-03,4.931505e-03,4.936114e-03,5.151724e-03,6.028903e-03,7.919433e-03,1.075693e-02,1.424389e-02,1.801662e-02,2.168731e-02,2.492890e-02,2.745348e-02,2.903280e-02,2.957263e-02,2.903280e-02,2.745348e-02,2.492890e-02,2.168731e-02,1.801662e-02,1.424389e-02,1.075693e-02,7.919435e-03,6.028901e-03,5.151723e-03,4.936113e-03,4.931506e-03,4.912391e-03,4.826817e-03,4.692525e-03,4.544105e-03,4.406345e-03,4.289842e-03,4.196399e-03,4.124258e-03,4.071005e-03,4.034546e-03,4.013313e-03
4.380217e-03,4.392418e-03,4.429411e-03,4.492335e-03,4.583034e-03,4.703876e-03,4.857107e-03,5.042462e-03,5.251851e-03,5.463072e-03,5.643434e-03,5.778067e-03,5.942017e-03,6.456352e-03,7.923953e-03,1.079148e-02,1.499192e-02,2.018408e-02,2.592343e-02,3.167176e-02,3.696065e-02,4.141420e-02,4.474484e-02,4.675591e-02,4.742251e-02,4.675591e-02,4.474484e-02,4.141420e-02,3.696065e-02,3.167176e-02,2.592343e-02,2.018408e-02,1.499192e-02,1.079148e-02,7.923953e-03,6.456351e-03,5.942017e-03,5.778068e-03,5.643434e-03,5.463072e-03,5.251851e-03,5.042462e-03,4.857107e-03,4.703876e-03,4.583034e-03,4.492335e-03,4.429410e-03,4.392419e-03
