tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,7831.47,0,0,0,0,0,0
300,8025.42,0,0,0,0,0,0
350,8225.08,0,0,0,0,0,0
400,8267.88,0,0,0,0,0,0
450,8084.76,0,0,0,0,0,0
500,8078.68,0,0,0,0,0,0
550,8348.54,0,0,0,0,0,0
600,8596.2,0,0,0,0,0,0
650,8770.71,0,0,0,0,0,0
700,9030.71,0,0,0,0,0,0
750,8968.93,0,0,0,0,0,0
800,9083,0,0,0,0,0,0
850,9332.3,0,0,0,0,0,0
900,9656.59,0,0,0,0,0,0
950,10168.2,0,0,0,0,0,0
1000,10291.9,0,0,0,0,0,0
1050,10294.6,0,0,0,0,0,0
1100,10133.2,0,0,0,0,0,0
1150,9917.88,0,0,0,0,0,0
1200,9657,0,0,0,0,0,0
1250,9687.38,0,0,0,0,0,0
1300,9930.79,0,0,0,0,0,0
1350,10239.9,0,0,0,0,0,0
1400,10817.1,0,0,0,0,0,0
1450,11347.2,0,0,0,0,0,0
1500,11701.6,0,0,0,0,0,0
1550,11729.5,0,0,0,0,0,0
1600,11650,0,0,0,0,0,0
1650,11540.1,0,0,0,0,0,0
1700,11533.2,0,0,0,0,0,0
1750,11673.1,0,0,0,0,0,0
1800,11715.4,0,0,0,0,0,0
1850,11597.2,0,0,0,0,0,0
1900,11412.9,0,0,0,0,0,0
1950,11630.3,0,0,0,0,0,0
2000,12169.8,0,0,0,0,0,0
2050,13048.2,0,0,0,0,0,0
2100,13052.8,0,0,0,0,0,0
2150,13119.7,0,0,0,0,0,0
2200,12771,0,0,0,0,0,0
2250,12351.7,0,0,0,0,0,0
2300,11935.9,0,0,0,0,0,0
2350,11280.4,0,0,0,0,0,0
2400,11685.4,0,0,0,0,0,0
2450,12446.9,0,0,0,0,0,0
2500,12907.5,0,0,0,0,0,0
2550,13227.4,0,0,0,0,0,0
2600,14157.4,0,0,0,0,0,0
2650,15624.5,0,0,0,0,0,0
2700,16132.7,0,0,0,0,0,0
