k,lambda,delta_eig,tier_eig
0,273.778,-4.09687,relevant
1,22.9264,-0.51894,relevant
2,17.5421,-0.13275,relevant
3,8.00052,0.999905,relevant
4,-4.46038,nan,n/a
5,-21.8811,nan,n/a
