#,M_ab(b=4)
row\col,JJ,divJ2,curlJ2,JdotDivJ,J4,stateSq
JJ,256.605,97.5952,-195.255,361.011,-3.91724,-44.7396
divJ2,0.00326114,16.5076,0.33037,6.83682,-0.0201436,14.1303
curlJ2,-0.595343,544.077,59.1664,697.961,3.75497,37.2802
JdotDivJ,-0.00154656,0.363062,-0.0303705,-8.3158,0.0148067,-6.69672
J4,-1162.57,9532.37,-11020.2,49970.5,65153.1,-4332.79
stateSq,1.94289e-16,-2.84217e-14,0,-2.27374e-13,6.82787e-15,64
