label,A_form,B_form,seed_idx,converged,n_steps,d_BCC,d_axis,v_inf_x,v_inf_y,v_inf_z,final_step_norm
primary,A2_Gstar_varpi_pi,B3_cyclic_antisym,4,0,500,5.701296e-01,7.085621e-01,0.6613836252,-0.7489698583,0.0401976576,6.130897e-01
primary,A2_Gstar_varpi_pi,B4_toeplitz_sign,0,0,500,4.397542e-01,5.808686e-01,0.8312958399,0.2250459706,-0.5082337431,6.643387e-01
primary,A2_Gstar_varpi_pi,B4_toeplitz_sign,1,0,500,3.921655e-01,6.278623e-01,0.2590973479,0.8028944662,0.5368696680,1.009507e+00
primary,A2_Gstar_varpi_pi,B4_toeplitz_sign,2,0,500,4.654917e-01,7.087735e-01,0.6455754729,0.7488200717,0.1500026965,8.699331e-01
primary,A2_Gstar_varpi_pi,B4_toeplitz_sign,3,0,500,5.922387e-01,7.323039e-01,-0.0151490320,-0.7318654709,-0.6812807346,9.937786e-01
primary,A2_Gstar_varpi_pi,B4_toeplitz_sign,4,0,500,3.749812e-01,6.497572e-01,-0.5526356302,-0.7889077762,-0.2687347780,9.308664e-01
control_Bzero,A1_Gstar_powers,B_zero,0,1,27,9.194017e-01,2.642882e-13,0.0000000000,-0.0000000000,1.0000000000,5.176546e-13
control_Bzero,A1_Gstar_powers,B_zero,1,1,27,9.194017e-01,2.857378e-13,0.0000000000,-0.0000000000,-1.0000000000,5.596675e-13
control_Bzero,A1_Gstar_powers,B_zero,2,1,29,9.194017e-01,4.100719e-13,0.0000000000,-0.0000000000,-1.0000000000,8.031977e-13
control_Bzero,A1_Gstar_powers,B_zero,3,1,27,9.194017e-01,2.156232e-13,-0.0000000000,0.0000000000,1.0000000000,4.223358e-13
control_Bzero,A1_Gstar_powers,B_zero,4,1,27,9.194017e-01,4.598329e-13,0.0000000000,0.0000000000,1.0000000000,9.006632e-13
control_Bzero,A2_Gstar_varpi_pi,B_zero,0,1,400,9.194017e-01,1.540058e-11,0.0000000000,-0.0000000000,1.0000000000,9.521276e-13
control_Bzero,A2_Gstar_varpi_pi,B_zero,1,1,409,9.194017e-01,1.596641e-11,0.0000000000,-0.0000000000,-1.0000000000,9.871094e-13
control_Bzero,A2_Gstar_varpi_pi,B_zero,2,1,449,9.194017e-01,1.526563e-11,0.0000000000,-0.0000000000,-1.0000000000,9.437841e-13
control_Bzero,A2_Gstar_varpi_pi,B_zero,3,1,416,9.194017e-01,1.593049e-11,-0.0000000000,0.0000000000,1.0000000000,9.848890e-13
control_Bzero,A2_Gstar_varpi_pi,B_zero,4,1,382,9.194017e-01,1.577121e-11,0.0000000000,0.0000000000,1.0000000000,9.750414e-13
control_Brandom,A1_Gstar_powers,B_random_00,0,1,29,7.077683e-01,2.331347e-01,-0.1444047839,-0.1809986636,0.9728241065,5.105364e-13
control_Brandom,A1_Gstar_powers,B_random_00,1,1,29,7.077683e-01,2.331347e-01,0.1444047839,0.1809986636,-0.9728241065,5.023454e-13
control_Brandom,A1_Gstar_powers,B_random_00,2,1,30,7.077683e-01,2.331347e-01,0.1444047839,0.1809986636,-0.9728241065,7.200139e-13
