k,lambda,delta_eig,tier_eig
0,276.592,-4.11162,relevant
1,45.4141,-1.50507,relevant
2,19.5891,-0.291976,relevant
3,5.68633,1.4925,relevant
4,-14.2469,nan,n/a
5,-32.8892,nan,n/a
