#,Wilson eigenvectors (cols), sym-part of M, sorted by λ desc
row\col,JJ,divJ2,curlJ2,JdotDivJ,J4,stateSq
JJ,0.000978752,0.180495,0.878639,-0.385942,-0.0129403,-0.215163
divJ2,-0.167283,0.370014,-0.0795783,-0.128604,0.886555,0.16203
curlJ2,-0.018496,0.721677,-0.256797,0.0952124,-0.20393,-0.601867
JdotDivJ,-0.226397,-0.531324,0.0133835,0.173057,0.337442,-0.722803
J4,0.959382,-0.0468426,-0.0158361,0.0222922,0.230431,-0.153444
stateSq,-0.00177386,0.158729,0.394063,0.891627,0.0727925,0.138634
