backend_label,actual_backend,L,profile,arm,seed,dx,dy,dz,n,tick,source_real,source_imag,source_abs,div_real,div_imag,div_abs,occupancy,global_charge,removed_since_last,cumulative_removed,history_evaporation,history_other,history_required,history_enabled,toggles_valid,event_valid,source_valid,field_valid,execution_valid
wsl2_cuda,gpu,32,full,coupled,0,1,0,0,1,8,0.035193501413975481,-0.34232680814394473,0.34413111762204335,0.0055912454163430962,-0.055878681811146788,0.05615771635543209,20083,27,630,12685,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,32,full,coupled,0,1,0,0,1,9,0.033985533569681856,-0.32869441130922089,0.33044671660939717,0.0066891377403450816,-0.06672979212821703,0.067064220872119024,19602,6,481,13166,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,32,full,coupled,0,1,0,0,1,10,0.033088315459170695,-0.31798539258251507,0.31970227793336387,0.0078118398805946251,-0.07779478321613989,0.078186016255889709,19232,-22,370,13536,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,32,full,coupled,0,1,0,0,1,11,0.032028205220783479,-0.30982279010394398,0.31147386278379308,0.0089420531269741709,-0.088897096609698453,0.089345699951143082,18952,-20,280,13816,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,32,full,coupled,0,1,0,0,1,12,0.031418385151246342,-0.30450441999461825,0.30612098379851538,0.010061852945896245,-0.09986797485923804,0.10037356866820191,18773,-7,179,13995,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,32,full,coupled,0,1,0,0,1,13,0.031077181019759502,-0.30140050845013522,0.30299844500283318,0.011154912216387225,-0.11054959156508239,0.11111095473337379,18669,3,104,14099,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,32,full,coupled,0,1,0,0,1,14,0.030982150870205453,-0.30034409841537602,0.30193785970873088,0.012206119704010832,-0.12079502553443991,0.12141016247454177,18634,8,35,14134,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,32,full,coupled,0,1,0,0,1,15,0.030904752976339253,-0.299498402028472,0.30108868556313567,0.013201700667916408,-0.13046959999061503,0.13113581288967693,18606,10,28,14162,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,32,full,coupled,0,1,0,0,1,16,0.030839262450760151,-0.29892501829786755,0.3005116082165335,0.014128650259990353,-0.13944663584921776,0.14016056152796147,18587,5,19,14181,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,32,full,isolated,1,1,0,0,1,0,0.0625,-0.63457314922559527,0.63764357733618682,0,0,0,32768,0,0,0,0,0,0,0,1,1,1,1,1
