backend_label,actual_backend,L,profile,arm,seed,dx,dy,dz,n,tick,source_real,source_imag,source_abs,div_real,div_imag,div_abs,occupancy,global_charge,removed_since_last,cumulative_removed,history_evaporation,history_other,history_required,history_enabled,toggles_valid,event_valid,source_valid,field_valid,execution_valid
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,0,0.031250000000000007,-0.63610836328225195,0.63687550772315416,0,0,0,262144,0,0,0,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,1,0.027735173364755013,-0.57318611671786179,0.57385674539877574,2.5647010037551834e-05,-0.00052205688249716748,0.00052268648125480311,236762,-150,25382,25382,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,2,0.025203037232153853,-0.51811720674349826,0.51872982660476563,7.3974065129275772e-05,-0.0015128541901163945,0.001514661666136858,215453,-363,21309,46691,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,3,0.023118470488952755,-0.47236191369090513,0.47292731067626309,0.00014274789155629372,-0.0029240159905768032,0.0029274983302629929,198257,-359,17196,63887,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,4,0.021438280754703835,-0.43246015783522274,0.43299121006849928,0.00023003689986997981,-0.0047134606306355022,0.0047190706809553742,183745,-221,14512,78399,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,5,0.019917325801055451,-0.397958141451148,0.39845624880821895,0.0003341819374726148,-0.0068426961234730179,0.006850851611699499,171509,-385,12236,90635,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,6,0.018553637122847435,-0.36703185006391403,0.36750049851915273,0.00045360042551352439,-0.0092765712812345053,0.0092876546060806347,160777,-285,10732,101367,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,7,0.017024455401307328,-0.34002661124952382,0.3404525347820837,0.00058678982369487456,-0.011981891580186393,0.011996251420195121,151663,-185,9114,110481,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,8,0.015655558639411378,-0.31638130736123504,0.31676841408814155,0.00073206756373211512,-0.014927809133018772,0.014945748841383203,143867,-49,7796,118277,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,0,1,0,0,1,9,0.014671960194895379,-0.29506986960881815,0.29543441635484097,0.00088784381811971502,-0.01808546120450983,0.018107240916970302,136978,-138,6889,125166,0,0,0,0,1,1,1,1,1
