cluster_id,max_age_ticks,max_total_energy
4137,1250,1.03546e+06
2582,100,9.63314
2581,100,0.597511
2580,100,5.01604
2579,100,4.69695
2578,100,2.61261
2577,100,1.67112
2576,100,0.989953
2575,100,1.4703
2572,100,1.2086
2571,100,13.8627
2570,100,0.391761
2568,100,2.51886
2567,100,2.20308
2566,100,2.64306
2565,100,1.07375
2564,100,1.44406
2563,100,2.7164
2562,100,0.775261
2559,100,5.79329
2557,100,8.22708
2556,100,0.537517
2554,100,2.73729
2553,100,11.7998
2552,100,1.2985
2550,100,1.49244
2549,100,9.83343
2548,100,2.26688
2547,100,1.52578
2546,100,2.16808
2545,100,1.32713
2543,100,0.45541
2542,100,2.67056
2541,100,4.38597
2539,100,1.43183
2538,100,8.232
2537,100,0.985225
2536,100,6.54867
2535,100,1.07331
2534,100,3.78316
2532,100,15.4344
2529,100,17.4938
2528,100,4.12181
2527,100,1.34892
2526,100,0.9638
2524,100,32.9782
2523,100,1.76562
2522,100,2.87134
2521,100,1.0072
2520,100,1.82758
2519,100,1.35699
2518,100,2.85398
2516,100,0.245054
2513,100,1.33731
2512,100,5.41579
2511,100,26.6913
2510,100,2.67529
2503,100,8.93186
2501,100,2.05911
2500,100,100.317
2499,100,1.2998
2497,100,0.234902
2495,100,5.93825
2494,100,3.13832
2490,100,1.42549
2489,100,2.47869
2488,100,2.7475
2487,100,2.12812
2486,100,1.68993
2483,100,1.50502
2482,100,4.12491
2481,100,1.69777
2479,100,3.18809
2477,100,13.756
2476,100,17.8912
2475,100,1.99012
2474,100,0.420626
2472,100,0.553565
2470,100,3.01253
2468,100,14.5473
2465,100,0.847419
2464,100,0.847077
2460,100,1.45532
2459,100,1.58887
2458,100,36.134
2457,100,4.27918
2456,100,0.533349
2454,100,1.91791
2453,100,1.2836
2452,100,0.839927
2449,100,0.93313
2448,100,33.8258
2447,100,3.72321
2446,100,1.72761
2445,100,11.0763
2444,100,1.50779
2442,100,4.64067
2441,100,1.47371
2439,100,0.648378
2438,100,14.8686
2437,100,1.49804
2436,100,1.64643
2435,100,1.28278
2431,100,5.44957
2430,100,4.54529
2429,100,1.72497
2428,100,11.3941
2427,100,5.29091
2426,100,2.50247
2421,100,6.8385
2420,100,0.745354
2419,100,2.49781
2416,100,0.88686
2415,100,6.43089
2414,100,0.986389
2413,100,0.398788
2412,100,3.189
2411,100,2.44427
2410,100,1.41712
2409,100,16.5245
2408,100,1.57188
2407,100,1.35267
2406,100,2.09217
2403,100,2.40641
2401,100,2.77843
2400,100,1.6288
2399,100,3.17567
2398,100,9.48078
2397,100,0.759789
2396,100,0.565912
2395,100,3.26407
2393,100,3.38853
2391,100,2.79661
2390,100,8.01997
2388,100,7.27197
2387,100,6.00371
2386,100,1.17157
2385,100,10.7725
2383,100,3.29295
2382,100,0.418252
2381,100,0.909703
2380,100,2.43344
2378,100,4.82885
2377,100,2.92364
2375,100,2.33626
2374,100,0.522326
2372,100,5.62783
2370,100,1.79332
2369,100,0.597217
2368,100,2.01716
2367,100,4.19694
