tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,153759,42,24,18,41,2,13.2368
300,154557,53,28,25,51,2,17.7789
350,155387,79,38,41,75,2,28.0819
400,156959,97,46,51,93,2,30.1857
450,158486,131,61,70,123,2,46.0442
500,160352,168,78,90,155,3,53.7083
550,163095,221,109,112,203,4,81.5195
600,164505,287,136,151,264,4,101.905
650,167413,383,185,198,347,4,135.464
700,165578,478,238,240,423,4,161.437
750,166013,555,272,283,489,4,198.386
800,170840,675,329,346,580,5,264.163
850,170420,814,410,404,689,5,294.716
900,168188,927,469,458,774,5,315.993
950,171925,1043,526,517,849,5,370.58
1000,177286,1231,613,618,961,7,479.124
1050,189342,1596,785,811,1191,10,725.631
1100,212519,2586,1282,1304,1766,13,1434.03
1150,254492,6866,3362,3504,3304,30,5084.79
1200,444841,57502,28733,28769,550,56540,86157.8
1250,1.06726e+06,261518,130201,131317,1,261518,921334
1300,1.06773e+06,262101,130478,131623,1,262101,938568
1350,1.02468e+06,262124,130496,131628,1,262124,901330
1400,1.03937e+06,262134,130500,131634,1,262134,918159
1450,1.05395e+06,262136,130502,131634,1,262136,933547
1500,1.08963e+06,262140,130504,131636,1,262140,969316
1550,1.12507e+06,262141,130505,131636,1,262141,1.00517e+06
1600,1.12788e+06,262143,130507,131636,1,262143,1.00793e+06
1650,1.12749e+06,262144,130508,131636,1,262144,1.00768e+06
1700,1.15774e+06,262144,130508,131636,1,262144,1.03803e+06
1750,1.1786e+06,262144,130508,131636,1,262144,1.05881e+06
1800,1.1855e+06,262144,130508,131636,1,262144,1.06589e+06
1850,1.1497e+06,262144,130508,131636,1,262144,1.02992e+06
1900,1.10797e+06,262144,130508,131636,1,262144,988175
1950,1.10333e+06,262144,130508,131636,1,262144,983785
2000,1.10789e+06,262144,130508,131636,1,262144,988200
2050,1.0826e+06,262144,130508,131636,1,262144,963011
2100,1.08154e+06,262144,130508,131636,1,262144,961632
2150,1.06488e+06,262144,130508,131636,1,262144,944988
2200,1.0541e+06,262144,130508,131636,1,262144,934768
2250,1.05871e+06,262144,130508,131636,1,262144,939120
2300,1.06961e+06,262144,130508,131636,1,262144,949752
2350,1.1041e+06,262144,130508,131636,1,262144,984280
2400,1.1271e+06,262144,130508,131636,1,262144,1.00689e+06
2450,1.14099e+06,262144,130508,131636,1,262144,1.02111e+06
2500,1.15878e+06,262144,130508,131636,1,262144,1.03907e+06
2550,1.14731e+06,262144,130508,131636,1,262144,1.02757e+06
2600,1.0932e+06,262144,130508,131636,1,262144,973543
2650,1.07789e+06,262144,130508,131636,1,262144,958516
2700,1.08208e+06,262144,130508,131636,1,262144,962253
