tick,total_energy,manifested,positive,negative,n_clusters,max_cluster_voxels,total_cluster_energy
250,154425,35,13,22,35,1,11.7524
300,155114,62,30,32,62,1,17.8057
350,156458,85,40,45,83,2,22.875
400,157440,116,56,60,111,2,35.2534
450,159078,153,72,81,145,2,53.2093
500,160908,207,103,104,192,2,73.3726
550,160882,260,127,133,232,3,89.0673
600,162868,322,156,166,286,3,102.207
650,167782,383,187,196,343,3,136.954
700,173216,497,236,261,436,3,187.371
750,173021,660,327,333,572,4,251.41
800,174174,848,409,439,712,5,324.209
850,171918,1022,502,520,827,5,379.097
900,172235,1167,563,604,925,6,427.895
950,171526,1334,633,701,1036,6,464.855
1000,175736,1530,738,792,1156,6,571.255
1050,177086,1771,857,914,1303,6,665.335
1100,177992,2023,981,1042,1454,7,752.004
1150,182737,2376,1161,1215,1639,8,958.356
1200,187641,2844,1396,1448,1869,9,1151.69
1250,191282,3481,1721,1760,2146,9,1500.57
1300,202504,4364,2162,2202,2496,13,2080.62
1350,234512,6845,3376,3469,3191,31,4280.56
1400,309790,19861,9986,9875,3205,1300,18858.7
1450,962343,254597,127774,126823,1,254597,790295
1500,1.07982e+06,262028,131399,130629,1,262028,947314
1550,1.08296e+06,262126,131436,130690,1,262126,958513
1600,1.10976e+06,262138,131443,130695,1,262138,988174
1650,1.13526e+06,262140,131444,130696,1,262140,1.01498e+06
1700,1.13632e+06,262140,131444,130696,1,262140,1.01643e+06
1750,1.11491e+06,262140,131444,130696,1,262140,994813
1800,1.09134e+06,262141,131445,130696,1,262141,971320
1850,1.08329e+06,262141,131445,130696,1,262141,963449
1900,1.07928e+06,262141,131445,130696,1,262141,959411
1950,1.09154e+06,262143,131447,130696,1,262143,972033
2000,1.09341e+06,262144,131447,130697,1,262144,973780
2050,1.11299e+06,262144,131447,130697,1,262144,993271
2100,1.11021e+06,262144,131447,130697,1,262144,990432
2150,1.11207e+06,262144,131447,130697,1,262144,992716
2200,1.10022e+06,262144,131447,130697,1,262144,980409
2250,1.08958e+06,262144,131447,130697,1,262144,969660
2300,1.07825e+06,262144,131447,130697,1,262144,958377
2350,1.08599e+06,262144,131447,130697,1,262144,966303
2400,1.10668e+06,262144,131447,130697,1,262144,987021
2450,1.114e+06,262144,131447,130697,1,262144,994551
2500,1.11088e+06,262144,131447,130697,1,262144,991011
2550,1.14088e+06,262144,131447,130697,1,262144,1.02112e+06
2600,1.14425e+06,262144,131447,130697,1,262144,1.02458e+06
2650,1.15486e+06,262144,131447,130697,1,262144,1.03546e+06
2700,1.14663e+06,262144,131447,130697,1,262144,1.02725e+06
