#,M_ab(b=4)
row\col,JJ,divJ2,curlJ2,JdotDivJ,J4,stateSq
JJ,267.044,-21.487,-185.203,346.447,-477.636,nan
divJ2,1.00709,2.58562,-0.0553584,-10.5022,-42.8885,nan
curlJ2,52.0644,-512.434,20.8479,295.661,-2271.37,nan
JdotDivJ,-0.0858593,4.4979,0.0699531,17.8787,5.53338,nan
J4,-546.7,1028.4,-235.842,1330.92,36846.4,nan
stateSq,nan,nan,nan,nan,nan,nan
