k,lambda,delta_eig,tier_eig
0,172.09,-3.42702,relevant
1,34.6283,-1.11388,relevant
2,11.1249,0.524276,relevant
3,-1.28803,nan,n/a
4,-37.4899,nan,n/a
5,null,null,n/a
