snapshot,fine_JJ,fine_divJ2,fine_curlJ2,fine_JdotDivJ,fine_J4,fine_stateSq,coarse_JJ,coarse_divJ2,coarse_curlJ2,coarse_JdotDivJ,coarse_J4,coarse_stateSq
0,0.00667571,0.000230616,0.00725197,-0.000106679,7.40376e-05,3.8147e-06,0.0403156,0.000877419,0.0389661,-0.000227056,0.00269928,3.05176e-05
1,0.00670179,0.000229732,0.00728517,-0.000106672,7.48188e-05,3.8147e-06,0.0406606,0.000877858,0.0393798,-0.000240345,0.00278175,3.05176e-05
2,0.0067202,0.000229621,0.00726956,-0.000106804,7.53057e-05,3.8147e-06,0.040965,0.000874919,0.0395103,-0.00025867,0.00277561,3.05176e-05
3,0.00673209,0.000230008,0.00728454,-0.000105482,7.53988e-05,3.8147e-06,0.0409098,0.000875909,0.0394047,-0.000232821,0.00276813,3.05176e-05
4,0.00669949,0.000230118,0.00728723,-0.000106246,7.49923e-05,3.8147e-06,0.0403167,0.000875665,0.0391767,-0.000211035,0.00272931,3.05176e-05
5,0.00670273,0.000231079,0.00731651,-0.000107298,7.48494e-05,3.8147e-06,0.0402314,0.000885477,0.0395834,-0.000250379,0.00271194,3.05176e-05
6,0.00671209,0.000229952,0.00730808,-0.000106922,7.5166e-05,3.8147e-06,0.0404438,0.000885244,0.0393197,-0.000233346,0.00271572,3.05176e-05
7,0.00676003,0.000230539,0.007318,-0.000106494,7.60673e-05,3.8147e-06,0.0412109,0.000884263,0.0395694,-0.000254153,0.00284311,3.05176e-05
8,0.0067767,0.000229707,0.00730101,-0.000106204,7.66374e-05,3.8147e-06,0.0415094,0.000859902,0.0391212,-0.000237518,0.00287567,3.05176e-05
9,0.00681967,0.000229659,0.00729677,-0.000105364,7.74177e-05,3.8147e-06,0.0423122,0.000875307,0.0391112,-0.000220698,0.00293381,3.05176e-05
10,0.00694558,0.000230746,0.00732257,-0.000106741,8.02826e-05,3.8147e-06,0.0439662,0.000874462,0.0395405,-0.000240145,0.00317345,3.05176e-05
11,0.00700941,0.000229927,0.00735369,-0.000107055,8.16459e-05,3.8147e-06,0.0446924,0.00087203,0.03901,-0.00025636,0.00328514,3.05176e-05
12,0.00703928,0.000231264,0.00735739,-0.000106791,8.22465e-05,3.8147e-06,0.0453338,0.000877228,0.0395318,-0.000235696,0.00337236,3.05176e-05
13,0.00711047,0.000230538,0.00737962,-0.000107457,8.41441e-05,3.8147e-06,0.0461415,0.000880613,0.0396785,-0.000230776,0.00350007,3.05176e-05
14,0.00712741,0.000230403,0.00734575,-0.000107537,8.44778e-05,3.8147e-06,0.0466817,0.000875476,0.0395333,-0.000249942,0.00357379,3.05176e-05
15,0.00718403,0.000230196,0.00737497,-0.000107329,8.56111e-05,3.8147e-06,0.0473787,0.00087399,0.0396454,-0.000237681,0.00364946,3.05176e-05
16,0.00722686,0.000229214,0.00735641,-0.000105976,8.63519e-05,3.8147e-06,0.048233,0.00087061,0.0398846,-0.000225955,0.00375338,3.05176e-05
17,0.00728503,0.000230124,0.00735286,-0.00010613,8.79196e-05,3.8147e-06,0.0490206,0.000874669,0.0397762,-0.000237386,0.00390007,3.05176e-05
18,0.0073342,0.00022998,0.00736229,-0.000106619,8.87469e-05,3.8147e-06,0.0499434,0.000879668,0.0395169,-0.000234669,0.0040268,3.05176e-05
19,0.00742373,0.000230322,0.00735832,-0.000107568,9.1671e-05,3.8147e-06,0.0512287,0.000868789,0.0395103,-0.000230696,0.00430918,3.05176e-05
20,0.00754705,0.000230146,0.00738742,-0.00010696,9.41309e-05,3.8147e-06,0.0530538,0.000864163,0.0397936,-0.00023993,0.00452906,3.05176e-05
21,0.00762931,0.000230581,0.00739025,-0.000107756,9.60968e-05,3.8147e-06,0.0543791,0.00087865,0.0400423,-0.0002348,0.0047402,3.05176e-05
22,0.00768749,0.000230791,0.00739426,-0.000108117,9.76656e-05,3.8147e-06,0.0552217,0.000869348,0.0402098,-0.000231561,0.00486543,3.05176e-05
23,0.00770901,0.00022956,0.00736512,-0.0001062,9.81692e-05,3.8147e-06,0.0558697,0.000880885,0.039603,-0.000231811,0.0049474,3.05176e-05
