tick,cluster_id,voxel_count,total_density,total_energy,cx,cy,cz,charge_sum,age_ticks,birth_tick
2400,0,4,0.616088,0.102191,8,15.75,16,0,2150,250
2400,1,2,0.4175,0.0935605,24.5,16,16,0,2150,250
2450,0,4,0.439531,0.0588325,8,15.75,16,0,2200,250
2450,1,2,0.333086,0.0578592,24.5,16,16,0,2200,250
2500,0,4,0.61199,0.115233,8,15.75,16,0,2250,250
2500,1,2,0.213882,0.0246093,24.5,16,16,0,2250,250
2550,0,4,0.999598,0.250048,8,15.75,16,0,2300,250
2550,1,2,0.589141,0.175415,24.5,16,16,0,2300,250
2600,0,4,0.864602,0.191198,8,15.75,16,0,2350,250
2600,1,2,0.375115,0.0811685,24.5,16,16,0,2350,250
2650,0,4,0.839574,0.181958,8,15.75,16,0,2400,250
2650,1,2,0.531515,0.158683,24.5,16,16,0,2400,250
2700,0,4,0.669604,0.134872,8,15.75,16,0,2450,250
2700,1,2,0.389208,0.0762713,24.5,16,16,0,2450,250
