identifier,lattice_size,nonzero_modes,mode_orbits,displacement_orbits,max_dx,max_dy,max_dz,pulse_cauchy_sum,gradient_weight_sum,pulse_operator_coefficient,maximum_orbit_coherence,common_step_coefficient,H10_r0,H10_r1,H10_r2,H10_r3,H10_r4,H10_r5,H10_r6,H10_r7,H10_r8,H10_r9,H10_r10,ten_source_bound,maximizing_removed_count,margin,maximum_orbit_invariance_residual,maximum_character_residual,valid,verdict
FTD-0593,9,728,34,34,4,4,4,1219.9274935722003,302.08481963217258,0.21340660233910125,0.36102817687951227,0.30397065730643719,0.96123961894684451,1.1253185742584129,1.211851054931889,1.2892870750177954,1.3605880165341262,1.4257242019743943,1.4834507192960931,1.5311637505827016,1.5634999962475615,1.566393439766683,1.3911186612546529,1.566393439766683,9,-0.050007380614705221,1.7763568394002505e-15,2.8421709430404007e-14,true,TEN_SOURCE_ORBIT_BOUND_INCONCLUSIVE
FTD-0593,17,4912,164,164,0,0,1,8457.3787414375602,2042.0798786991397,0.21677610473116635,0.36250597734262191,0.30909222934825492,0.97743545179962765,1.144052792775931,1.2320903899205058,1.3109187402399638,1.3835251140604803,1.4498713048184184,1.5086879087461085,1.5573254413025992,1.5903292220156677,1.5933956191964316,1.4152929544766957,1.5933956191964316,9,-0.077009560044453806,1.7763568394002505e-15,1.0658141036401503e-14,true,TEN_SOURCE_ORBIT_BOUND_INCONCLUSIVE
FTD-0593,33,35936,968,968,0,0,1,62792.856247811666,14943.611312224693,0.21844645449354122,0.36267617904631827,0.31182601851585356,0.98608045221193519,1.153924510041102,1.2426025838546206,1.3220005248289779,1.3951254220971125,1.4619367164845896,1.5211529363913727,1.5701007475864373,1.6032769949005137,1.6062513990021401,1.4264546137917731,1.6062513990021401,9,-0.089865339850162318,4.5519144009631418e-15,1.7763568394002505e-14,true,TEN_SOURCE_ORBIT_BOUND_INCONCLUSIVE
FTD-0593,65,274624,6544,6544,0,0,1,483557.86777177796,114203.45027148063,0.21929447438975708,0.3627366279728112,0.31324294475519981,0.99056116640472625,1.1590233086553565,1.2480182518024923,1.3276961646318952,1.4010744686889001,1.4681114245835336,1.5275193271808085,1.5766124930336378,1.6098626498078699,1.6127738812210539,1.4320835294833276,1.6127738812210539,9,-0.096387822069076146,1.5654144647214707e-14,2.1316282072803006e-14,true,TEN_SOURCE_ORBIT_BOUND_INCONCLUSIVE
