k,lambda,delta_eig,tier_eig
0,255.963,-3.99979,relevant
1,26.1933,-0.711125,relevant
2,16.5786,-0.0512518,relevant
3,2.09161,2.93539,relevant
4,-17.595,nan,n/a
5,null,null,n/a
