arm,L,amplitude,seed,sample_tick,valid,N,B,I,centroid_x,centroid_y,centroid_z,centroid_displacement,rms_radius,volume_radius,area_coefficient,radial_traction_jump,laplace_coefficient,interface_gradient_fraction,wave_kinetic_energy
reaction_periodic,24,12,3759153152,150,1,12,12,0,12.166666666666666,12,11.916666666666666,0.18633899812498222,1.3718398027628604,1.4202480846149887,2.2894284851066637,-0.075769060235216582,-0.10761086267214406,0.0069406362300514449,45.293957221244689
reaction_periodic,24,12,3759153152,180,1,12,12,0,12.166666666666666,12,11.916666666666666,0.18633899812498222,1.3718398027628604,1.4202480846149887,2.2894284851066637,-0.095019557455357256,-0.13495134447693502,0.010966952357524758,49.230586855655019
reaction_periodic,24,12,3759153152,210,1,12,12,0,12.166666666666666,12,11.916666666666666,0.18633899812498222,1.3718398027628604,1.4202480846149887,2.2894284851066637,-0.062288186477308383,-0.088464677538538469,0.015999790552377362,49.167271752040882
reaction_periodic,24,12,3759153152,240,1,13,12,1,12.153846153846155,12,11.923076923076923,0.17200522903844634,1.3189560153447883,1.4586516277963595,2.1704627886653149,-0.063121205354982099,-0.092071848939512924,0.029661272326332346,46.263732445184182
reaction_periodic,24,12,3759153152,270,1,13,12,1,12.153846153846155,12,11.923076923076923,0.17200522903844634,1.3189560153447883,1.4586516277963595,2.1704627886653149,-0.0043314548959283716,-0.00631808373467243,0.027335739792896864,48.589600308937975
reaction_periodic,24,12,3759153152,300,1,13,12,1,12.153846153846155,12,11.923076923076923,0.17200522903844634,1.3189560153447883,1.4586516277963595,2.1704627886653149,-0.058018989507405777,-0.084629493488077343,0.0064660504104588623,46.790645245304965
reaction_periodic,24,12,3759153153,150,1,11,11,0,11.90909090909091,12.090909090909092,11.90909090909091,0.15745916432444274,1.3726971700492272,1.3796471409351669,2.2239800905693157,-0.11115359359292223,-0.15335273760514465,0.0062616072780699505,53.084887565799193
reaction_periodic,24,12,3759153153,180,1,11,11,0,11.90909090909091,12.090909090909092,11.90909090909091,0.15745916432444274,1.3726971700492272,1.3796471409351669,2.2239800905693157,-0.13061643031795042,-0.18020458464731776,0.011043986333827015,56.412150983843354
reaction_periodic,24,12,3759153153,210,1,12,11,1,11.916666666666666,12.083333333333332,11.916666666666666,0.14433756729740646,1.3149778198382918,1.4202480846149887,2.0986427780144421,-0.079401898778179283,-0.11277039465450234,0.015766119859178532,57.002808519561334
reaction_periodic,24,12,3759153153,240,1,12,11,1,11.916666666666666,12.083333333333332,11.916666666666666,0.14433756729740646,1.3149778198382918,1.4202480846149887,2.0986427780144421,-0.082955660560397576,-0.11781761801887582,0.030103076653860774,53.825780372874355
reaction_periodic,24,12,3759153153,270,1,12,11,1,11.916666666666666,12.083333333333332,11.916666666666666,0.14433756729740646,1.3149778198382918,1.4202480846149887,2.0986427780144421,-0.025727387242337654,-0.036539272453078149,0.023588281793837373,55.573357380465637
reaction_periodic,24,12,3759153153,300,1,12,11,1,11.916666666666666,12.083333333333332,11.916666666666666,0.14433756729740646,1.3149778198382918,1.4202480846149887,2.0986427780144421,-0.083082668384750688,-0.11799800063814445,0.0047323015738954255,53.491976630432248
reaction_periodic,24,12,3759153154,150,1,13,12,1,11.846153846153847,12,12,0.1538461538461533,1.2917581249035897,1.4586516277963595,2.1704627886653149,-0.071483106069028329,-0.10426894902752799,0.0073559119075159492,48.226321644745035
reaction_periodic,24,12,3759153154,180,1,12,12,0,11.833333333333332,12,12,0.16666666666666785,1.3437096247164249,1.4202480846149887,2.2894284851066637,-0.090278405465792133,-0.1282177324448866,0.010902321544390916,51.777818570846968
reaction_periodic,24,12,3759153154,210,1,12,12,0,11.833333333333332,12,12,0.16666666666666785,1.3437096247164249,1.4202480846149887,2.2894284851066637,-0.065351618624612098,-0.092815511178094556,0.016880130105559901,51.8750104943772
reaction_periodic,24,12,3759153154,240,1,13,12,1,11.846153846153847,12,12,0.1538461538461533,1.2917581249035897,1.4586516277963595,2.1704627886653149,-0.045620341635227241,-0.066544185586850241,0.025010924060373037,48.276976691949244
reaction_periodic,24,12,3759153154,270,1,13,12,1,11.846153846153847,12,12,0.1538461538461533,1.2917581249035897,1.4586516277963595,2.1704627886653149,-0.0024803468298790626,-0.0036179619409026347,0.025999623983797335,50.895190134563109
reaction_periodic,24,12,3759153154,300,1,13,12,1,11.846153846153847,12,12,0.1538461538461533,1.2917581249035897,1.4586516277963595,2.1704627886653149,-0.053822187997929004,-0.078507822134740821,0.0063826552933255957,49.424036847220329
reaction_periodic,24,12,3759153155,150,1,10,10,0,11.800000000000001,12.100000000000001,12.100000000000001,0.24494897427831841,1.2409673645990857,1.3365046175719757,2.1544346900318838,-0.081902032785270348,-0.10946244500604516,0.0055201293681075405,48.419279603781554
reaction_periodic,24,12,3759153155,180,1,10,10,0,11.800000000000001,12.100000000000001,12.100000000000001,0.24494897427831841,1.2409673645990857,1.3365046175719757,2.1544346900318838,-0.091397021794432765,-0.12215254166058589,0.0078541372274693513,51.854509251086419
reaction_periodic,24,12,3759153155,210,1,11,10,1,11.818181818181818,12.090909090909092,12.090909090909092,0.22268088570756217,1.1853095282186634,1.3796471409351669,2.0218000823357416,-0.041813240248055661,-0.05768751736146524,0.01935932343074177,51.708040096771541
reaction_periodic,24,12,3759153155,240,1,10,9,1,11.9,12.100000000000001,12,0.14142135623731025,1.1747340124470731,1.3365046175719757,1.9389912210286955,-0.074276528191178526,-0.099270922904725126,0.027458225245500584,49.390171159155649
