arm,L,amplitude,seed,stable,dynamically_active,mechanically_eligible,genesis_events,evaporation_events,movement_events,annihilation_events,mean_area_coefficient,mean_laplace_coefficient,mean_interface_gradient_fraction,finite
reaction_periodic,24,12,3759153152,1,1,0,1,0,0,0,2.2299456368859896,-0.0856743851416467,0.016228406944940269,1
reaction_periodic,24,12,3759153153,1,1,0,1,0,0,0,2.1404218821994001,-0.11978043466951054,0.015249228915444847,1
reaction_periodic,24,12,3759153154,1,1,0,1,1,0,0,2.2101180208124309,-0.078995360385500465,0.015421927815827123,1
reaction_periodic,24,12,3759153155,1,1,0,1,1,0,0,2.0246071875809326,-0.090443765230196191,0.014586715517473163,1
reaction_periodic,24,20,3759153152,1,1,0,0,0,0,0,2.924017738212866,-0.14643339481334586,0.03020708240810123,1
reaction_periodic,24,20,3759153153,1,1,0,0,0,0,0,3.1443291012399111,-0.49110559727062336,0.034284235197844931,1
reaction_periodic,24,20,3759153154,1,1,0,1,1,0,0,3.0512435781896698,-0.10850973290785458,0.034528521967509787,1
reaction_periodic,24,20,3759153155,1,1,0,0,0,0,0,3.026766644820075,-0.28974260793895162,0.031662425610654625,1
reaction_periodic,24,40,3759153152,0,0,0,3,1,0,0,3.9821964379951136,-0.13539300048486938,0.050635446017070256,1
reaction_periodic,24,40,3759153153,0,0,0,3,4,0,0,3.8880666631645311,-0.40567041976134544,0.050876794683276216,1
reaction_periodic,24,40,3759153154,0,0,0,2,1,0,0,3.7555526751254216,-0.1353748598613895,0.04852244997115885,1
reaction_periodic,24,40,3759153155,0,0,0,2,1,0,0,3.937213947657956,-0.13425007753854981,0.04918824975490773,1
reaction_periodic,32,12,3759153152,1,1,0,0,1,0,0,2.2567042878379904,-0.10531086651759279,0.0049319093236489748,1
reaction_periodic,32,12,3759153153,1,1,0,0,0,0,0,2.2894284851066637,-0.09459487146131218,0.0053195670782455332,1
reaction_periodic,32,12,3759153154,1,1,0,0,1,0,0,2.1892073903006,-0.1650048480616807,0.0043775892473664349,1
reaction_periodic,32,12,3759153155,1,1,0,0,0,0,0,2.0800838230519045,-0.20325203592946592,0.0040191459447065665,1
reaction_periodic,32,20,3759153152,1,1,0,0,1,0,0,3.1966235879760174,-0.29807170584754644,0.013015009338212315,1
reaction_periodic,32,20,3759153153,1,1,0,0,0,0,0,3.1072325059538595,-0.22405393755938954,0.011970670579703963,1
reaction_periodic,32,20,3759153154,1,1,0,1,1,0,0,3.1299979369122153,-0.3676153258514015,0.012773348699458934,1
reaction_periodic,32,20,3759153155,1,1,0,0,0,0,0,3.2396118012774839,-0.41787898551324743,0.013006995134768017,1
reaction_periodic,32,40,3759153152,1,1,0,0,19,0,0,4.1289684527823542,-0.17587831664242101,0.028562919682884519,1
reaction_periodic,32,40,3759153153,1,1,0,0,17,0,0,4.3418417917166581,-0.10933817903210856,0.033109640100076415,1
reaction_periodic,32,40,3759153154,1,1,0,0,18,0,0,4.3754326541042134,-0.40566584588649768,0.028127857811727597,1
reaction_periodic,32,40,3759153155,1,1,0,0,26,0,0,4.4903516244393975,-0.14685702964105693,0.026680339724363289,1
reaction_dispersal,24,12,3759153152,1,1,0,0,0,0,0,2.2894284851066637,-0.1004873601605696,0.0084693637601240459,1
reaction_dispersal,24,12,3759153153,1,1,0,0,0,0,0,2.2239800905693161,-0.089773891865748814,0.0076857515723314012,1
reaction_dispersal,24,12,3759153154,1,1,0,0,0,0,0,2.2239800905693161,-0.14390782695116863,0.0078472702214744255,1
reaction_dispersal,24,12,3759153155,1,1,0,0,1,0,0,2.1172592565418937,-0.11133551163768655,0.0060328072485482812,1
reaction_dispersal,24,20,3759153152,1,1,0,0,1,0,0,2.8910855735478251,-0.22621762166356604,0.0187011022890529,1
reaction_dispersal,24,20,3759153153,1,1,0,0,0,0,0,3.1748021039364001,-0.55697808063664567,0.025690649222276405,1
reaction_dispersal,24,20,3759153154,1,1,0,0,3,0,0,3.0658281743079843,-0.16183415755802721,0.025097425938751056,1
reaction_dispersal,24,20,3759153155,1,1,0,0,1,0,0,3.2292777131903416,-0.34549661742535037,0.026209148143089899,1
reaction_dispersal,24,40,3759153152,0,0,0,0,16,0,0,4.2593193689401536,-0.19889222583612098,0.058531559481141922,1
reaction_dispersal,24,40,3759153153,0,0,0,0,14,0,0,4.0027222432766987,-0.51312461891392991,0.06162744299820324,1
reaction_dispersal,24,40,3759153154,0,0,0,0,19,0,0,4.2251227595717094,-0.13466961101364405,0.065263390713065833,1
reaction_dispersal,24,40,3759153155,0,0,0,0,19,0,0,4.2200887033165166,-0.13997172655281867,0.057989179236611295,1
reaction_dispersal,32,12,3759153152,1,1,0,0,1,0,0,2.2567042878379904,-0.099936319460247933,0.0067359263043129461,1
reaction_dispersal,32,12,3759153153,1,1,0,0,1,0,0,2.2676123535942145,-0.092015514620002514,0.0063650161297725003,1
reaction_dispersal,32,12,3759153154,1,1,0,0,1,0,0,2.1892073903006,-0.16038396588236484,0.0058277410620506164,1
reaction_dispersal,32,12,3759153155,1,1,0,0,0,0,0,2.0800838230519045,-0.19973793671870421,0.0051029679837596509,1
reaction_dispersal,32,20,3759153152,1,1,0,0,3,0,0,3.1011573812990316,-0.30784664421074664,0.01168125677248282,1
reaction_dispersal,32,20,3759153153,1,1,0,0,0,0,0,3.1072325059538595,-0.22896441860761232,0.0097495196581157961,1
reaction_dispersal,32,20,3759153154,1,1,0,0,1,0,0,3.1243065791726266,-0.37170432287387162,0.010558659145046107,1
reaction_dispersal,32,20,3759153155,1,1,0,0,2,0,0,3.2395079742157251,-0.35464421016720382,0.011247389961374652,1
reaction_dispersal,32,40,3759153152,1,1,0,0,33,0,0,4.3151480887055946,-0.27494259522680664,0.031741971068682956,1
reaction_dispersal,32,40,3759153153,1,1,0,0,30,0,0,4.4268909274093788,-0.15463530671981346,0.037544165402558699,1
