stencil,seed,L,T,gamma,N_burn,N_measure,x_plus,x_minus,sum,ratio,valid_prony,prony_failure
SC,1,48,0.005,0.05,500,2000,4.43102e-05,-0.00898041,-0.0089361,0,1,""
SC,2,48,0.005,0.05,500,2000,0.0172889,0.00166503,0.0189539,10.3835,1,""
SC,3,48,0.005,0.05,500,2000,-0.00297934,-0.00673673,-0.00971607,0,1,""
SC,4,48,0.005,0.05,500,2000,0.000123331,-0.016024,-0.0159007,0,1,""
SC,5,48,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
SC,6,48,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
SC,7,48,0.005,0.05,500,2000,0.0023866,-0.00555727,-0.00317067,0,1,""
SC,8,48,0.005,0.05,500,2000,0.283483,0.0015862,0.285069,178.718,1,""
FCC,1,48,0.005,0.05,500,2000,0.0301669,0.00411633,0.0342832,7.32859,1,""
FCC,2,48,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FCC,3,48,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FCC,4,48,0.005,0.05,500,2000,0.0765517,0.0103157,0.0868674,7.4209,1,""
FCC,5,48,0.005,0.05,500,2000,0.0519676,0.00143319,0.0534008,36.2602,1,""
FCC,6,48,0.005,0.05,500,2000,0.0411613,0.00446998,0.0456312,9.20838,1,""
FCC,7,48,0.005,0.05,500,2000,0.0705975,0.00264936,0.0732469,26.647,1,""
FCC,8,48,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
BCC,1,48,0.005,0.05,500,2000,0.0225343,0.00133992,0.0238742,16.8176,1,""
BCC,2,48,0.005,0.05,500,2000,0.0326863,0.00179254,0.0344788,18.2346,1,""
BCC,3,48,0.005,0.05,500,2000,0.0305624,0.0016973,0.0322597,18.0065,1,""
BCC,4,48,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
BCC,5,48,0.005,0.05,500,2000,0.00712296,0.00258887,0.00971183,2.75137,1,""
BCC,6,48,0.005,0.05,500,2000,0.00243874,-0.0011736,0.00126514,0,1,""
BCC,7,48,0.005,0.05,500,2000,0.0124089,0.000865651,0.0132745,14.3347,1,""
BCC,8,48,0.005,0.05,500,2000,0.0426388,0.00200147,0.0446403,21.3038,1,""
FULL,1,48,0.005,0.05,500,2000,0.0449039,0.00287648,0.0477804,15.6107,1,""
FULL,2,48,0.005,0.05,500,2000,0.0408022,0.000873017,0.0416752,46.737,1,""
FULL,3,48,0.005,0.05,500,2000,0.0205928,0.0125067,0.0330995,1.64654,1,""
FULL,4,48,0.005,0.05,500,2000,0,0,0,0,0,"Prony: complex roots (not pure exponentials)"
FULL,5,48,0.005,0.05,500,2000,0.0596993,0.00263451,0.0623338,22.6605,1,""
FULL,6,48,0.005,0.05,500,2000,0.0483997,0.00114761,0.0495473,42.1743,1,""
FULL,7,48,0.005,0.05,500,2000,0.000763422,-0.0109415,-0.0101781,0,1,""
FULL,8,48,0.005,0.05,500,2000,0.0178095,0.00403778,0.0218473,4.41071,1,""
