A,N_mean,N_std,k
10,3.875,1.165922381636102,0.03875
12,9.0,3.1622776601683795,0.0625
14,17.875,6.313428149587195,0.09119897959183673
16,21.125,5.946374946133148,0.08251953125
20,27.25,0.9682458365518543,0.068125
25,41.5,30.062435031114827,0.0664
30,81.0,19.78004044485248,0.09
40,156.75,41.89794147687927,0.09796875
50,244.375,7.6638355279846655,0.09775
70,436.75,11.744679646546345,0.08913265306122449
90,668.125,16.66911440359085,0.08248456790123457
