A,N_mean,N_std,k
10,2.875,1.899835519196333,0.02875
12,6.75,0.6614378277661477,0.046875
14,7.0,0.0,0.03571428571428571
16,7.0,0.0,0.02734375
20,21.875,5.301827515112124,0.0546875
25,26.0,4.242640687119285,0.0416
30,23.875,6.313428149587195,0.02652777777777778
40,81.625,2.4462982238476156,0.051015625
50,95.25,7.361215932167728,0.0381
70,233.625,98.50245872565822,0.04767857142857143
90,472.25,101.9665999237005,0.05830246913580247
