A,N_mean,N_std,k
10,2.375,1.1110243021644486,0.02375
12,5.0,1.224744871391589,0.034722222222222224
14,6.0,1.0,0.030612244897959183
16,6.75,0.4330127018922193,0.0263671875
20,12.75,3.897114317029974,0.031875
25,24.75,4.575751304430781,0.0396
30,28.0,3.4641016151377544,0.03111111111111111
40,31.5,2.0,0.0196875
50,121.25,20.668514702319566,0.0485
70,224.75,36.588078659585285,0.04586734693877551
90,384.0,10.862780491200215,0.047407407407407405
