#,stderr (bootstrap, 100 resamples)
row\col,JJ,divJ2,curlJ2,JdotDivJ,J4,stateSq
JJ,0.00542157,12.7125,0.452795,13.4374,0.029076,nan
divJ2,0.000395749,0.914609,0.0261333,1.06553,0.00220376,nan
curlJ2,0.0153155,33.6611,0.861466,33.0402,0.078266,nan
JdotDivJ,0.000468553,0.875587,0.0300142,1.16596,0.00246947,nan
J4,0.0454278,72.1461,3.28076,88.6718,0.270529,nan
stateSq,nan,nan,nan,nan,nan,nan
