tag,L,A,gamma,T,thermostat,coupling,seed,n_samples,n_mean,n_min,n_max,k_mean
D,32,12.0000,0.0200,0.00500,on,on,0xE0102000,50,14.0000,14,14,0.097222
D,32,12.0000,0.0200,0.00500,on,on,0xE0102001,50,15.0000,15,15,0.104167
D,32,12.0000,0.0200,0.00500,on,on,0xE0102002,50,11.0000,11,11,0.076389
