tag,L,A,gamma,T,thermostat,coupling,seed,n_samples,n_mean,n_min,n_max,k_mean
L24,24,30.0000,0.0200,0.00500,on,on,0xE0102000,50,45.0000,45,45,0.050000
L24,24,30.0000,0.0200,0.00500,on,on,0xE0102001,50,43.0000,43,43,0.047778
L24,24,30.0000,0.0200,0.00500,on,on,0xE0102002,50,47.0000,47,47,0.052222
