tag,L,A,gamma,T,thermostat,coupling,seed,n_samples,n_mean,n_min,n_max,k_mean
L48,48,10.0000,0.0200,0.00500,on,on,0xE0102000,50,2.0000,2,2,0.020000
L48,48,10.0000,0.0200,0.00500,on,on,0xE0102001,50,5.0000,5,5,0.050000
L48,48,10.0000,0.0200,0.00500,on,on,0xE0102002,50,6.0000,6,6,0.060000
