k,lambda,delta_eig,tier_eig
0,255.02,-3.99447,relevant
1,65.1752,-2.02625,relevant
2,17.3231,-0.114627,relevant
3,-52.9732,nan,n/a
4,null,null,n/a
5,null,null,n/a
