FTD-0458 minimum-norm transaction selector v1
protocol,L,33,group_size,48,hop,+x,support,R1,amplitude,0.02,packet_direction,-1,packet_tick,8,work,0.0001,speed,0.14999999999999999,gate,1e-10
certificate,ambient_dimension,108,constraint_rank,3,nullity,105,zero_shell_dimension,104,minimum_energy,-0.004313761077087354,radius,0.092884455934105076,projected_coefficient_norm,0.10326047502272089,norm2_bound_residual,2.6020852139652106e-18,direction_residual,2.2813375984859581e-18,minimum_alternative_norm2_excess,0.0014601874203539265,alternative_count,5,pass,true
arm,index,17,dx,0,dy,-1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,6.5052130349130266e-19,minimum_impulse_residual,6.9422812089192833e-18,selected_impulse_residual,1.4119652141020657e-17,complete_energy_residual,3.2322777267224101e-17,momentum_residual,4.1805942181271714e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,18,dx,0,dy,1,dz,0,minimum_energy_residual,2.6020852139652106e-18,norm2_residual,1.0842021724855044e-18,minimum_impulse_residual,5.4860444665198809e-18,selected_impulse_residual,1.3985789501276836e-17,complete_energy_residual,3.0588053791247294e-17,momentum_residual,1.8174666554186646e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,19,dx,0,dy,1,dz,0,minimum_energy_residual,2.6020852139652106e-18,norm2_residual,1.3010426069826053e-18,minimum_impulse_residual,5.4985136765872794e-18,selected_impulse_residual,1.398591156658976e-17,complete_energy_residual,3.1455415529235697e-17,momentum_residual,1.8174666554186646e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,20,dx,0,dy,-1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,2.1684043449710089e-19,minimum_impulse_residual,3.4964469463373513e-18,selected_impulse_residual,1.3985847388320905e-17,complete_energy_residual,5.2922618544448685e-17,momentum_residual,2.6022574382983091e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,21,dx,0,dy,-1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,3.4964469463373513e-18,selected_impulse_residual,6.9524860582227509e-18,complete_energy_residual,5.5741544192910997e-17,momentum_residual,2.4294863065648033e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,22,dx,0,dy,1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,2.1684043449710089e-19,minimum_impulse_residual,5.4857003756986769e-18,selected_impulse_residual,3.4694476106818112e-18,complete_energy_residual,4.0129032909119733e-17,momentum_residual,9.36204269649177e-18,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,23,dx,0,dy,1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,2.1684043449710089e-19,minimum_impulse_residual,5.0577167167006277e-18,selected_impulse_residual,3.4964469463373513e-18,complete_energy_residual,3.8394309433142926e-17,momentum_residual,1.0954408021739332e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,24,dx,0,dy,0,dz,-1,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,1.0842021724855044e-18,minimum_impulse_residual,7.3637123283649348e-18,selected_impulse_residual,1.4304933970251911e-17,complete_energy_residual,4.2731118123084944e-17,momentum_residual,1.5708963335246625e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,25,dx,0,dy,0,dz,1,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,1.7347234759768071e-18,minimum_impulse_residual,7.7585758827509109e-18,selected_impulse_residual,1.4821501604869279e-17,complete_energy_residual,3.8394309433142926e-17,momentum_residual,1.2212834862883196e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,26,dx,0,dy,0,dz,-1,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,6.9438783906578429e-18,selected_impulse_residual,1.4304947343734271e-17,complete_energy_residual,4.0129032909119733e-17,momentum_residual,1.5686709170930429e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,27,dx,0,dy,0,dz,1,minimum_energy_residual,1.7347234759768071e-18,norm2_residual,8.6736173798840355e-19,minimum_impulse_residual,6.2813009112839932e-18,selected_impulse_residual,1.4120210901544537e-17,complete_energy_residual,3.9912192474622632e-17,momentum_residual,1.0464657362886007e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,28,dx,0,dy,0,dz,-1,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,2.1684043449710089e-19,minimum_impulse_residual,2.9092197108366482e-18,selected_impulse_residual,1.3920101417501064e-17,complete_energy_residual,3.9912192474622632e-17,momentum_residual,1.5727472739502042e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,29,dx,0,dy,0,dz,1,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,6.5052130349130266e-19,minimum_impulse_residual,4.6724166601103173e-18,selected_impulse_residual,1.3884588874677725e-17,complete_energy_residual,4.424900116456465e-17,momentum_residual,1.5709296556965396e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,30,dx,0,dy,0,dz,-1,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,4.3368086899420177e-19,minimum_impulse_residual,3.8819197805851982e-18,selected_impulse_residual,6.9693730894497378e-18,complete_energy_residual,4.7067926813026961e-17,momentum_residual,1.3972760657760729e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,31,dx,0,dy,0,dz,1,minimum_energy_residual,0,norm2_residual,2.1684043449710089e-19,minimum_impulse_residual,5.2086859779582023e-18,selected_impulse_residual,3.5299065311586151e-18,complete_energy_residual,4.8802650289003768e-17,momentum_residual,1.3979962224793182e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,32,dx,0,dy,-1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,0,minimum_impulse_residual,3.5778671692021646e-18,selected_impulse_residual,1.39048721075611e-17,complete_energy_residual,3.2105936832727e-17,momentum_residual,4.3489893351591395e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,33,dx,0,dy,-1,dz,0,minimum_energy_residual,8.6736173798840355e-19,norm2_residual,6.5052130349130266e-19,minimum_impulse_residual,2.7769124835677133e-18,selected_impulse_residual,1.9402372686113355e-18,complete_energy_residual,3.7526947695154522e-17,momentum_residual,4.1786861604654657e-17,reverse_residual,9.6973990361221606e-19,pass,true
arm,index,34,dx,0,dy,1,dz,0,minimum_energy_residual,2.6020852139652106e-18,norm2_residual,1.5178830414797062e-18,minimum_impulse_residual,6.209365080825175e-18,selected_impulse_residual,2.0888842456473907e-17,complete_energy_residual,3.1021734660241496e-17,momentum_residual,6.570837656319217e-18,reverse_residual,9.6973990361221606e-19,pass,true
