tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1579.7,0,2,-1.70739,0,1.46223,32,0,0,0,0
300,1748.09,0,2,-1.46113,0,0.891749,32,0,0,0,0
350,1842.48,0,2,0.0522391,0,1.12564,32,0,0,0,0
400,1873.81,0,2,-0.103352,0,1.46917,32,0,0,0,0
450,2036.74,0,2,-0.62315,0,1.36488,32,0,0,0,0
500,2112.2,0,2,2.05128,0,1.56744,32,0,0,0,0
550,2248.6,0,2,-4.11424,0,1.6968,32,0,0,0,0
600,2442.94,0,2,-3.4967,0,1.63138,32,0,0,0,0
650,2642.31,0,2,-1.86836,0,2.01235,32,0,0,0,0
700,3057.86,0,2,1.63622,0,2.18236,32,0,0,0,0
750,3107.51,0,2,4.61932,0,2.44335,32,0,0,0,0
800,2667.06,0,2,-0.627951,0,2.57926,32,0,0,0,0
850,2730.19,0,2,4.01262,0,2.18243,32,0,0,0,0
900,2835.3,0,2,-1.29447,0,2.22337,32,0,0,0,0
950,3110.2,0,2,-0.656819,0,2.23073,32,0,0,0,0
1000,3341.86,0,2,-2.79197,0,2.97862,32,0,0,0,0
1050,3602.98,0,2,-0.399256,0,2.75144,32,0,0,0,0
1100,4368.72,0,2,1.14635,0,3.71942,32,0,0,0,0
1150,4784.16,0,2,-2.07818,0,4.19104,32,0,0,0,0
1200,5469.24,0,2,-2.44396,0,4.74105,32,0,0,0,0
1250,5059.62,0,2,-3.14286,0,4.0825,32,0,0,0,0
1300,4592.52,0,2,-1.08384,0,3.88289,32,0,0,0,0
1350,4325.13,0,2,-2.04241,0,3.03551,32,0,0,0,0
1400,4278.88,0,2,2.44282,0,3.33383,32,0,0,0,0
1450,3766.55,0,2,-1.59422,0,3.21173,32,0,0,0,0
1500,3507.17,0,2,4.62231,0,3.26306,32,0,0,0,0
1550,3498.33,0,2,0.087003,0,2.179,32,0,0,0,0
1600,3622.47,0,2,-1.14927,0,2.94095,32,0,0,0,0
1650,3925.58,0,2,-0.807857,0,3.44837,32,0,0,0,0
1700,4446.74,0,2,-0.0886391,0,3.65768,32,0,0,0,0
1750,5008.48,0,2,-2.28605,0,4.41785,32,0,0,0,0
1800,5332.4,0,2,2.69403,0,5.12263,32,0,0,0,0
1850,5234.55,0,2,0.980231,0,5.14752,32,0,0,0,0
1900,5557.04,0,2,0.303688,0,5.33322,32,0,0,0,0
1950,5349.06,0,2,-1.40028,0,5.17139,32,0,0,0,0
2000,5059.29,0,2,-3.45003,0,4.84478,32,0,0,0,0
2050,4822.61,0,2,1.6571,0,4.2934,32,0,0,0,0
2100,4626.11,0,2,0.236569,0,3.78994,32,0,0,0,0
2150,4652.82,0,2,-6.36547,0,4.0456,32,0,0,0,0
2200,4842.91,0,2,-6.31437,0,3.96906,32,0,0,0,0
