tick,total_density,total_charge,manifested,Q_top,W_R,E_tube,tube_length,monopole_core,centroid_x,centroid_y,centroid_z
250,1165.44,0,2,-5.52741,0,0.505387,32,0,0,0,0
300,1205.89,0,2,3.29381,0,0.681232,32,0,0,0,0
350,1246.73,0,2,3.66123,0,0.764069,32,0,0,0,0
400,1436.96,0,2,2.53985,0,0.875495,32,0,0,0,0
450,1368.66,0,2,1.71841,0,0.862095,32,0,0,0,0
500,1433.95,0,2,-2.4414,0,0.80906,32,0,0,0,0
550,1514.06,0,2,-0.0750689,0,0.976653,32,0,0,0,0
600,1465.14,0,2,0.631317,0,0.70899,32,0,0,0,0
650,1419.88,0,2,-1.19287,0,0.79247,32,0,0,0,0
700,1373.04,0,2,-2.06044,0,0.764287,32,0,0,0,0
750,1380.15,0,2,1.70893,0,0.842755,32,0,0,0,0
800,1429.05,0,2,3.7176,0,0.707083,32,0,0,0,0
850,1507.55,0,2,2.83729,0,1.03003,32,0,0,0,0
900,1469.22,0,2,-2.51444,0,0.999046,32,0,0,0,0
950,1355.54,0,2,-1.21087,0,0.942027,32,0,0,0,0
1000,1337.62,0,2,-1.55899,0,1.05124,32,0,0,0,0
1050,1451.49,0,2,1.97254,0,0.82036,32,0,0,0,0
1100,1519.32,0,2,7.53931,0,0.799701,32,0,0,0,0
1150,1382.97,0,2,0.0716307,0,0.837757,32,0,0,0,0
1200,1330.08,0,2,0.520784,0,0.476659,32,0,0,0,0
1250,1308.99,0,2,-2.71479,0,0.769237,32,0,0,0,0
1300,1473.98,0,2,-0.0364992,0,0.815046,32,0,0,0,0
1350,1841.64,0,2,0.429821,0,1.24006,31,0,0,0,0
1400,2379.83,0,2,1.49293,0,1.82416,32,0,0,0,0
1450,2836.21,0,2,2.50192,0,2.41764,32,0,0,0,0
1500,2810.61,0,2,-2.66536,0,2.40077,32,0,0,0,0
1550,3185.31,0,2,-1.5445,0,2.95858,32,0,0,0,0
1600,3179.78,0,2,-0.347157,0,2.29899,32,0,0,0,0
1650,2792.46,0,2,4.35784,0,2.33407,32,0,0,0,0
1700,2898.61,0,2,0.438484,0,2.30222,32,0,0,0,0
1750,3319.46,0,2,-0.0773894,0,2.93809,32,0,0,0,0
1800,3779.24,0,2,1.17507,0,3.44945,32,0,0,0,0
1850,3627.56,0,2,-0.668295,0,2.91328,32,0,0,0,0
1900,3360.46,0,2,-2.7795,0,2.66416,32,0,0,0,0
1950,3026.82,0,2,-5.18241,0,2.28211,32,0,0,0,0
2000,3052.47,0,2,-0.874244,0,2.25603,32,0,0,0,0
2050,3063.93,0,2,0.59872,0,2.19643,32,0,0,0,0
2100,3130.16,0,2,-2.87569,0,2.03736,32,0,0,0,0
2150,3544.99,0,2,-1.21678,0,2.95813,32,0,0,0,0
2200,4269.46,0,2,5.71898,0,4.06909,32,0,0,0,0
