stencil,seed,L,T,gamma,N_burn,N_measure,x_plus,x_minus,sum,ratio,valid_prony,prony_failure
SC,1,16,0.005000,0.050000,500,800,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,"Prony: complex roots (not pure exponentials)"
SC,2,16,0.005000,0.050000,500,800,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,"Prony: complex roots (not pure exponentials)"
FCC,1,16,0.005000,0.050000,500,800,4.400924e-02,9.411281e-03,5.342052e-02,4.676221e+00,1,""
FCC,2,16,0.005000,0.050000,500,800,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,"Prony: complex roots (not pure exponentials)"
BCC,1,16,0.005000,0.050000,500,800,2.615552e-02,1.390505e-02,4.006058e-02,1.881009e+00,1,""
BCC,2,16,0.005000,0.050000,500,800,2.890414e-02,5.461216e-03,3.436536e-02,5.292620e+00,1,""
FULL,1,16,0.005000,0.050000,500,800,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,"Prony: complex roots (not pure exponentials)"
FULL,2,16,0.005000,0.050000,500,800,6.190696e-02,2.349968e-03,6.425693e-02,2.634375e+01,1,""
