tag,L,A,gamma,T,thermostat,coupling,seed,n_samples,n_mean,n_min,n_max,k_mean
P,32,68.0000,0.0200,0.00500,on,on,0xE0102000,50,245.0000,245,245,0.052984
P,32,68.0000,0.0200,0.00500,on,on,0xE0102001,50,248.0000,248,248,0.053633
P,32,68.0000,0.0200,0.00500,on,on,0xE0102002,50,252.0000,252,252,0.054498
