#,M_ab(b=2)
row\col,JJ,divJ2,curlJ2,JdotDivJ,J4,stateSq
JJ,16.0067,-8.35779,-7.37965,nan,-0.0265318,nan
divJ2,2.22194e-05,2.39233,0.0185174,nan,-0.000134453,nan
curlJ2,-0.0101522,19.8492,8.44005,nan,0.00202558,nan
JdotDivJ,nan,nan,nan,nan,nan,nan
J4,-3.489,-94.9528,-38.3771,nan,255.554,nan
stateSq,nan,nan,nan,nan,nan,nan
