#,stderr (bootstrap, 100 resamples)
row\col,JJ,divJ2,curlJ2,JdotDivJ,J4,stateSq
JJ,0.0201877,34.0716,0.82278,29.0631,0.111997,nan
divJ2,0.00136333,2.4317,0.0820186,2.31981,0.0075077,nan
curlJ2,0.0489172,63.3457,1.85561,65.417,0.285991,nan
JdotDivJ,0.00207488,2.09594,0.0909634,3.04907,0.0122778,nan
J4,0.159413,118.418,3.6235,197.275,0.996273,nan
stateSq,nan,nan,nan,nan,nan,nan
