k,lambda,delta_eig,tier_eig
0,265.825,-4.05433,relevant
1,19.0123,-0.248865,relevant
2,6.65262,1.26608,relevant
3,-9.09642,nan,n/a
4,null,null,n/a
5,null,null,n/a
