stencil,valid_n,ratio_mean,ratio_stderr,sum_mean,sum_stderr
SC,2,18.8754,13.5108,0.0279655,0.00875503
FCC,4,13.886,8.58514,0.0328395,0.00656391
BCC,7,11.7586,2.27579,0.035305,0.00787928
FULL,7,19.9062,3.46935,0.0517847,0.00667804
