k,lambda,delta_eig,tier_eig
0,254.918,-3.99389,relevant
1,45.2717,-1.50054,relevant
2,17.0382,-0.0906988,relevant
3,4.20266,1.9287,relevant
4,-28.8245,nan,n/a
5,null,null,n/a
