ftd_id,phase_index,phase,rigid_energy,relaxed_energy,scale,stationarity,curvature,gauss_gate,common_gate,inverse,inward_impulse,separation_decrease,pseudomomentum_defect,attractive
FTD-0604,0,0,0.0039251254046402933,0.0039250731538010529,0.99995333628913685,5.9192234447280603e-09,47.989153276195566,7.8612796968729937e-16,6.9843016461436369e-15,1.7763568394002505e-15,0.00032737974726132019,0.00021352268430874233,6.7816223946813204e-05,1
FTD-0604,1,0.03125,0.0039218237533905189,0.0039217716373103678,0.99995339649951986,4.8306844635526147e-09,47.989196158559892,9.0423611825479926e-16,9.5887246710432694e-15,1.7763568394002505e-15,0.00031754644441203737,0.00020710837076798327,0.00016263634923467232,1
FTD-0604,2,0.0625,0.0039152251350387983,0.0039151732825827637,0.99995351424950008,1.0014775467248604e-08,47.989284638130783,8.068632567637124e-16,8.7070785694323694e-15,1.1023321914199886e-15,0.00029937508165375347,0.00019525508872408892,0.00026290493614723536,1
FTD-0604,3,0.09375,0.0039055545799384873,0.0039055031141259694,0.99995368831259823,7.5608356381318131e-09,47.989418385310785,8.8167320666521221e-16,8.644371026281239e-15,1.7763568394002505e-15,0.00027288208039503168,0.00017797354099169382,0.00035590353939440699,1
FTD-0604,4,0.125,0.0038931501136063307,0.0038930991488274583,0.99995391436739189,7.2818053670209429e-09,47.989596515390915,8.5135229902452428e-16,7.6910185034875789e-15,8.8817841970012523e-16,0.00023807826599391713,0.00015527077611210416,0.00043681374121709452,1
FTD-0604,5,0.15625,0.0038784627567224768,0.0038784123960836263,0.999954188407702,6.0725946840478598e-09,47.989818009221132,7.9805824329522466e-16,8.4576985172335473e-15,1.7763568394002505e-15,0.00019496886641360227,0.00012715018767028852,0.00050168195313686286,1
FTD-0604,6,0.1875,0.0038620565251304721,0.0038620068579624731,0.99995450475371628,7.3946708131766839e-09,47.990081539737986,8.1389798509318088e-16,8.7095451293747739e-15,8.8817841970012523e-16,0.00014355351371335946,9.3611515544544943e-05,0.0005467582873279512,1
FTD-0604,7,0.21875,0.0038446084298372611,0.0038445595293918173,0.99995485767420056,5.1494615863068019e-09,47.990385628089705,8.2442733195797757e-16,7.7263905993649185e-15,5.0639904456267748e-16,8.3826248528823938e-05,5.4650849227400045e-05,0.00056836361414106657,1
FTD-0604,8,0.25,0.0038269084770131863,0.0038268603983631294,0.99995523860072832,2.1245375250722454e-09,47.990728175260891,7.6934986159571395e-16,9.7672114536886956e-15,1.2217373738206881e-15,1.5775527658154194e-05,1.0260633379388651e-05,0.00056285205573037395,1
FTD-0604,9,0.28125,0.0038098596679919865,0.0038098124461390815,0.99995563933760878,5.1049659291479968e-09,47.991107134277833,1.0547118733938987e-15,1.1095033854331693e-14,1.0505484814650172e-15,-6.0615765238732056e-05,-3.9570324426030368e-05,0.00052660030886258948,0
