identifier,lattice_size,nonzero_modes,mode_orbits,displacement_orbits,max_dx,max_dy,max_dz,pulse_cauchy_sum,gradient_weight_sum,pulse_operator_coefficient,maximum_orbit_coherence,common_step_coefficient,H8_r0,H8_r1,H8_r2,H8_r3,H8_r4,H8_r5,H8_r6,H8_r7,H8_r8,eight_source_bound,maximizing_removed_count,margin,maximum_orbit_invariance_residual,maximum_character_residual,valid,verdict
FTD-0591,9,728,34,34,4,4,4,1219.9274935722003,302.08481963217258,0.21340660233910125,0.36102817687951227,0.30397065730643719,0.85975885225245563,1.0176373674327728,1.0966652098586116,1.1647553628266103,1.2239563239678222,1.2725177715367646,1.3053888308094466,1.3086417854242818,1.1336205701213338,1.3086417854242818,7,0.20774427372769599,1.7763568394002505e-15,2.8421709430404007e-14,true,ARBITRARY_REMOVAL_N_LE_8_CLOSED_BY_ORBIT_COHERENCE
FTD-0591,17,4912,164,164,0,0,1,8457.3787414375602,2042.0798786991397,0.21677610473116635,0.36250597734262191,0.30909222934825492,0.87424484553687465,1.034557275769189,1.1149637897461673,1.1842888053415948,1.244591327394454,1.2940835141346745,1.3276258728180359,1.3310542251949447,1.1532067992472304,1.3310542251949447,7,0.18533183395703312,1.7763568394002505e-15,1.0658141036401503e-14,true,ARBITRARY_REMOVAL_N_LE_8_CLOSED_BY_ORBIT_COHERENCE
FTD-0591,33,35936,968,968,0,0,1,62792.856247811666,14943.611312224693,0.21844645449354122,0.36267617904631827,0.31182601851585356,0.88197716897184797,1.0434605518059121,1.1244400487702733,1.1942506020711636,1.2549628252413192,1.3047710491214048,1.3384894838455896,1.3418282589109189,1.1622884104145896,1.3418282589109189,7,0.17455780024105882,4.5519144009631418e-15,1.7763568394002505e-14,true,ARBITRARY_REMOVAL_N_LE_8_CLOSED_BY_ORBIT_COHERENCE
FTD-0591,65,274624,6544,6544,0,0,1,483557.86777177796,114203.45027148063,0.21929447438975708,0.3627366279728112,0.31324294475519981,0.88598484158097957,1.04805740615756,1.1293187903985722,1.1993657508089304,1.26027497802224,1.3102316020671925,1.3440258584608986,1.3473027423603405,1.16687022901738,1.3473027423603405,7,0.16908331679163724,1.5654144647214707e-14,2.1316282072803006e-14,true,ARBITRARY_REMOVAL_N_LE_8_CLOSED_BY_ORBIT_COHERENCE
