identifier,lattice_size,cyclotomic_degree,nonzero_modes,mode_orbits,eigenvalue_shell_count,multi_orbit_shell_count,maximum_orbits_per_shell,shell_mode_count,max_dx,max_dy,max_dz,maximum_shared_m_coherence,orbit_coherence_recomputed,coherence_improvement,pulse_operator_coefficient,common_step_coefficient,HM_r0,HM_r1,HM_r2,HM_r3,HM_r4,HM_r5,HM_r6,HM_r7,HM_r8,HM_r9,HM_r10,ten_source_shared_m_bound,maximizing_removed_count,margin,maximum_orbit_invariance_residual,maximum_character_residual,shell_regrouping_residual,valid,verdict
FTD-0594,9,6,728,34,29,1,6,728,0,0,1,0.35925757426614324,0.36102817687951227,0.0017706026133690322,0.21340660233910125,0.30397065730643719,0.96123961894684451,1.1253185742584129,1.2116219567134376,1.2887880878915032,1.3598021045975019,1.4246425232278599,1.4820680754935467,1.5294768210603003,1.5615065288476289,1.5640918360159304,1.3885077453467281,1.5640918360159304,9,-0.047705776863952609,1.7763568394002505e-15,1.0658141036401503e-14,4.7042597944860521e-17,true,TEN_SOURCE_SHARED_M_BOUND_INCONCLUSIVE
FTD-0594,17,16,4912,164,164,0,1,4912,0,0,1,0.36250597734262191,0.36250597734262191,0,0.21677610473116635,0.30909222934825492,0.97743545179962765,1.144052792775931,1.2320903899205058,1.3109187402399638,1.3835251140604803,1.4498713048184184,1.5086879087461085,1.5573254413025992,1.5903292220156677,1.5933956191964316,1.4152929544766957,1.5933956191964316,9,-0.077009560044453806,1.7763568394002505e-15,1.0658141036401503e-14,0,true,TEN_SOURCE_SHARED_M_BOUND_INCONCLUSIVE
FTD-0594,33,20,35936,968,947,1,22,35936,0,0,1,0.36267617904631827,0.36267617904631827,0,0.21844645449354122,0.31182601851585356,0.98608045221193519,1.153924510041102,1.2426025838546206,1.3220005248289779,1.3951254220971125,1.4619367164845896,1.5211529363913727,1.5701007475864373,1.6032769949005137,1.6062513990021401,1.4264546137917731,1.6062513990021401,9,-0.089865339850162318,4.5519144009631418e-15,1.4210854715202004e-14,6.0861774491478621e-17,true,TEN_SOURCE_SHARED_M_BOUND_INCONCLUSIVE
FTD-0594,65,48,274624,6544,6544,0,1,274624,0,0,1,0.3627366279728112,0.3627366279728112,0,0.21929447438975708,0.31324294475519981,0.99056116640472625,1.1590233086553565,1.2480182518024923,1.3276961646318952,1.4010744686889001,1.4681114245835336,1.5275193271808085,1.5766124930336378,1.6098626498078699,1.6127738812210539,1.4320835294833276,1.6127738812210539,9,-0.096387822069076146,1.5654144647214707e-14,2.1316282072803006e-14,6.3710488578823694e-17,true,TEN_SOURCE_SHARED_M_BOUND_INCONCLUSIVE
