k,lambda,delta_eig,tier_eig
0,264.771,-4.0486,relevant
1,20.2138,-0.337266,relevant
2,17.5203,-0.130953,relevant
3,-2.9839,nan,n/a
4,-12.5968,nan,n/a
5,null,null,n/a
