tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,20.0000,0.0000,0.00000,off,0xE0102000,50,20626.2600,53,32768,51.565650
X,32,20.0000,0.0000,0.00000,off,0xE0102001,50,7355.2800,29,32768,18.388200
