tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,30.0000,0.0000,0.00000,off,0xE0102000,50,32304.8800,22226,32768,35.894311
X,32,30.0000,0.0000,0.00000,off,0xE0102001,50,31789.0800,15669,32768,35.321200
