tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,10.0000,0.0000,0.00000,off,0xE0102000,50,4.0000,4,4,0.040000
X,32,10.0000,0.0000,0.00000,off,0xE0102001,50,8.6600,6,11,0.086600
