tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
T_T0.00125,32,50.0000,0.0200,0.00125,on,0xE0102000,50,112.7400,111,123,0.045096
T_T0.00125,32,50.0000,0.0200,0.00125,on,0xE0102001,50,135.4800,128,149,0.054192
T_T0.00125,32,50.0000,0.0200,0.00125,on,0xE0102002,50,127.0800,120,139,0.050832
