tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
G_g0.04,32,50.0000,0.0400,0.00500,on,0xE0102000,50,64.5400,60,73,0.025816
G_g0.04,32,50.0000,0.0400,0.00500,on,0xE0102001,50,79.8000,73,92,0.031920
G_g0.04,32,50.0000,0.0400,0.00500,on,0xE0102002,50,78.6600,77,82,0.031464
