tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,28.7700,0.0000,0.00000,off,0xE0102000,50,32508.3400,24706,32768,39.274898
X,32,28.7700,0.0000,0.00000,off,0xE0102001,50,30618.1400,5652,32768,36.991256
