tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
G_g0.01,32,50.0000,0.0100,0.00500,on,0xE0102000,50,22143.9800,1029,32740,8.857592
G_g0.01,32,50.0000,0.0100,0.00500,on,0xE0102001,50,621.5000,418,1192,0.248600
G_g0.01,32,50.0000,0.0100,0.00500,on,0xE0102002,50,13512.7800,447,32768,5.405112
