tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
T_T0,32,50.0000,0.0200,0.00000,on,0xE0102000,50,116.1800,113,125,0.046472
T_T0,32,50.0000,0.0200,0.00000,on,0xE0102001,50,132.2400,127,143,0.052896
T_T0,32,50.0000,0.0200,0.00000,on,0xE0102002,50,117.8000,115,129,0.047120
