tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,2.0000,0.0000,0.00000,off,0xE0102000,50,1.0000,1,1,0.250000
X,32,2.0000,0.0000,0.00000,off,0xE0102001,50,1.0000,1,1,0.250000
