tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,85.7000,0.0000,0.00000,off,0xE0102000,50,32763.4800,32569,32768,4.460961
X,32,85.7000,0.0000,0.00000,off,0xE0102001,50,32748.4000,31969,32768,4.458907
