tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
T_T0.01,32,50.0000,0.0200,0.01000,on,0xE0102000,50,127.4200,122,141,0.050968
T_T0.01,32,50.0000,0.0200,0.01000,on,0xE0102001,50,145.6200,141,153,0.058248
T_T0.01,32,50.0000,0.0200,0.01000,on,0xE0102002,50,143.0400,136,160,0.057216
