tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,117.9300,0.0000,0.00000,off,0xE0102000,50,32767.9600,32766,32768,2.356138
X,32,117.9300,0.0000,0.00000,off,0xE0102001,50,32767.4000,32744,32768,2.356098
