tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
C,32,33.0500,0.0200,0.00500,on,0xE0102000,50,66.2000,66,68,0.060606
C,32,33.0500,0.0200,0.00500,on,0xE0102001,50,46.6400,45,52,0.042699
C,32,33.0500,0.0200,0.00500,on,0xE0102002,50,65.8400,65,69,0.060276
C,32,33.0500,0.0200,0.00500,on,0xE0102003,50,69.8600,66,77,0.063957
C,32,33.0500,0.0200,0.00500,on,0xE0102004,50,65.5600,64,67,0.060020
