tag,L,A,gamma,T,thermostat,seed,n_samples,n_mean,n_min,n_max,k_mean
X,32,50.0000,0.0000,0.00000,off,0xE0102000,50,32687.4200,30049,32768,13.074968
X,32,50.0000,0.0000,0.00000,off,0xE0102001,50,32606.5800,27312,32768,13.042632
